"file"	"flag"
"2017_170/2017-06-19T22-38-43+00-00"	1
"2017_170/2017-06-19T22-41-43+00-00"	1
"2017_170/2017-06-19T22-44-44+00-00"	1
"2017_170/2017-06-19T23-11-45+00-00"	1
"2017_170/2017-06-19T23-14-46+00-00"	1
"2017_170/2017-06-19T23-17-46+00-00"	1
"2017_170/2017-06-19T23-20-46+00-00"	1
"2017_170/2017-06-19T23-23-46+00-00"	1
"2017_170/2017-06-19T23-26-46+00-00"	1
"2017_170/2017-06-19T23-29-47+00-00"	1
"2017_170/2017-06-19T23-32-47+00-00"	1
"2017_170/2017-06-19T23-35-47+00-00"	1
"2017_170/2017-06-19T23-38-47+00-00"	1
"2017_170/2017-06-19T23-41-48+00-00"	1
"2017_170/2017-06-19T23-44-48+00-00"	1
"2017_170/2017-06-19T23-47-48+00-00"	1
"2017_170/2017-06-19T23-50-48+00-00"	1
"2017_170/2017-06-19T23-53-49+00-00"	1
"2017_170/2017-06-19T23-56-49+00-00"	1
"2017_170/2017-06-19T23-59-49+00-00"	1
"2017_171/2017-06-20T00-00-01+00-00"	1
"2017_171/2017-06-20T00-03-02+00-00"	1
"2017_171/2017-06-20T00-06-02+00-00"	1
"2017_171/2017-06-20T00-09-02+00-00"	1
"2017_171/2017-06-20T00-12-02+00-00"	1
"2017_171/2017-06-20T00-15-03+00-00"	1
"2017_171/2017-06-20T00-18-03+00-00"	1
"2017_171/2017-06-20T00-21-03+00-00"	1
"2017_171/2017-06-20T00-24-03+00-00"	1
"2017_171/2017-06-20T00-27-03+00-00"	0
"2017_171/2017-06-20T00-30-04+00-00"	0
"2017_171/2017-06-20T00-33-04+00-00"	0
"2017_171/2017-06-20T00-36-04+00-00"	0
"2017_171/2017-06-20T00-39-04+00-00"	1
"2017_171/2017-06-20T00-42-04+00-00"	0
"2017_171/2017-06-20T00-45-05+00-00"	0
"2017_171/2017-06-20T00-48-05+00-00"	0
"2017_171/2017-06-20T00-51-05+00-00"	1
"2017_171/2017-06-20T00-54-05+00-00"	0
