file	flag
2021_102/2021-04-12T20-04-33+00-00	1
2021_102/2021-04-12T20-07-33+00-00	1
2021_102/2021-04-12T20-10-33+00-00	1
2021_102/2021-04-12T20-13-33+00-00	0
2021_102/2021-04-12T20-16-34+00-00	0
2021_102/2021-04-12T20-19-34+00-00	0
2021_102/2021-04-12T20-22-34+00-00	0
2021_102/2021-04-12T20-25-34+00-00	0
2021_102/2021-04-12T20-28-35+00-00	0
2021_102/2021-04-12T20-31-35+00-00	0
2021_102/2021-04-12T20-34-35+00-00	0
2021_102/2021-04-12T20-37-35+00-00	0
2021_102/2021-04-12T20-40-36+00-00	0
2021_102/2021-04-12T20-43-36+00-00	0
2021_102/2021-04-12T20-46-36+00-00	0
2021_102/2021-04-12T20-49-36+00-00	0
2021_102/2021-04-12T20-52-37+00-00	0
2021_102/2021-04-12T20-55-37+00-00	0
2021_102/2021-04-12T20-58-37+00-00	0
2021_102/2021-04-12T21-01-38+00-00	0
2021_102/2021-04-12T21-04-38+00-00	0
2021_102/2021-04-12T21-07-38+00-00	0
2021_102/2021-04-12T21-10-38+00-00	0
2021_102/2021-04-12T21-13-38+00-00	0
2021_102/2021-04-12T21-16-39+00-00	0
2021_102/2021-04-12T21-19-39+00-00	0
2021_102/2021-04-12T21-22-39+00-00	0
2021_102/2021-04-12T21-25-40+00-00	0
2021_102/2021-04-12T21-28-40+00-00	0
2021_102/2021-04-12T21-31-40+00-00	0
2021_102/2021-04-12T21-34-40+00-00	0
2021_102/2021-04-12T21-37-41+00-00	0
2021_102/2021-04-12T21-40-41+00-00	0
2021_102/2021-04-12T21-43-41+00-00	0
2021_102/2021-04-12T21-46-41+00-00	0
2021_102/2021-04-12T21-49-42+00-00	0
2021_102/2021-04-12T21-52-42+00-00	0
2021_102/2021-04-12T21-55-42+00-00	0
2021_102/2021-04-12T21-58-42+00-00	0
2021_102/2021-04-12T22-01-43+00-00	0
2021_102/2021-04-12T22-04-43+00-00	0
2021_102/2021-04-12T22-07-43+00-00	0
2021_102/2021-04-12T22-10-43+00-00	0
2021_102/2021-04-12T22-13-44+00-00	0
2021_102/2021-04-12T22-16-44+00-00	0
2021_102/2021-04-12T22-19-44+00-00	0
2021_102/2021-04-12T22-22-44+00-00	0
2021_102/2021-04-12T22-25-45+00-00	0
2021_102/2021-04-12T22-28-45+00-00	0
2021_102/2021-04-12T22-31-45+00-00	0
2021_102/2021-04-12T22-34-46+00-00	0
2021_102/2021-04-12T22-37-46+00-00	0
2021_102/2021-04-12T22-40-46+00-00	0
2021_102/2021-04-12T22-43-46+00-00	0
2021_102/2021-04-12T22-46-47+00-00	0
2021_102/2021-04-12T22-49-47+00-00	0
2021_102/2021-04-12T22-52-47+00-00	0
2021_102/2021-04-12T22-55-47+00-00	0
2021_102/2021-04-12T22-58-48+00-00	0
2021_102/2021-04-12T23-01-48+00-00	0
2021_102/2021-04-12T23-04-48+00-00	0
2021_102/2021-04-12T23-07-49+00-00	0
2021_102/2021-04-12T23-10-49+00-00	0
2021_102/2021-04-12T23-13-49+00-00	0
2021_102/2021-04-12T23-16-49+00-00	0
2021_102/2021-04-12T23-19-50+00-00	0
2021_102/2021-04-12T23-22-50+00-00	0
2021_102/2021-04-12T23-25-50+00-00	0
2021_102/2021-04-12T23-28-50+00-00	0
2021_102/2021-04-12T23-31-51+00-00	0
2021_102/2021-04-12T23-34-51+00-00	0
2021_102/2021-04-12T23-37-51+00-00	0
2021_102/2021-04-12T23-40-51+00-00	0
2021_102/2021-04-12T23-43-51+00-00	0
2021_102/2021-04-12T23-46-52+00-00	0
2021_102/2021-04-12T23-49-52+00-00	0
2021_102/2021-04-12T23-52-52+00-00	0
2021_102/2021-04-12T23-55-52+00-00	0
2021_102/2021-04-12T23-58-53+00-00	1
2021_103/2021-04-13T00-00-02+00-00	2
2021_103/2021-04-13T00-03-02+00-00	0
2021_103/2021-04-13T00-06-02+00-00	0
2021_103/2021-04-13T00-09-02+00-00	0
2021_103/2021-04-13T00-12-03+00-00	0
2021_103/2021-04-13T00-15-03+00-00	0
2021_103/2021-04-13T00-18-03+00-00	0
2021_103/2021-04-13T00-21-03+00-00	0
2021_103/2021-04-13T00-24-03+00-00	0
2021_103/2021-04-13T00-27-04+00-00	0
2021_103/2021-04-13T00-30-04+00-00	0
2021_103/2021-04-13T00-33-04+00-00	0
2021_103/2021-04-13T00-36-04+00-00	0
2021_103/2021-04-13T00-39-05+00-00	0
2021_103/2021-04-13T00-42-05+00-00	0
2021_103/2021-04-13T00-45-05+00-00	0
2021_103/2021-04-13T00-48-06+00-00	0
2021_103/2021-04-13T00-51-06+00-00	1
2021_103/2021-04-13T00-54-06+00-00	0
2021_103/2021-04-13T00-57-06+00-00	0
2021_103/2021-04-13T01-00-07+00-00	0
2021_103/2021-04-13T01-03-07+00-00	0
2021_103/2021-04-13T01-06-07+00-00	0
2021_103/2021-04-13T01-09-07+00-00	0
2021_103/2021-04-13T01-12-08+00-00	0
2021_103/2021-04-13T01-15-08+00-00	0
2021_103/2021-04-13T01-18-08+00-00	0
2021_103/2021-04-13T01-21-08+00-00	0
2021_103/2021-04-13T01-24-09+00-00	0
2021_103/2021-04-13T01-27-09+00-00	0
2021_103/2021-04-13T01-30-09+00-00	0
2021_103/2021-04-13T01-33-09+00-00	0
2021_103/2021-04-13T01-36-10+00-00	0
2021_103/2021-04-13T01-39-10+00-00	0
2021_103/2021-04-13T01-42-10+00-00	0
2021_103/2021-04-13T01-45-11+00-00	0
2021_103/2021-04-13T01-48-11+00-00	0
2021_103/2021-04-13T01-51-11+00-00	0
2021_103/2021-04-13T01-54-11+00-00	0
2021_103/2021-04-13T01-57-12+00-00	0
2021_103/2021-04-13T02-00-12+00-00	0
2021_103/2021-04-13T02-03-12+00-00	0
2021_103/2021-04-13T02-06-12+00-00	0
2021_103/2021-04-13T02-09-13+00-00	0
2021_103/2021-04-13T02-12-13+00-00	0
2021_103/2021-04-13T02-15-13+00-00	0
2021_103/2021-04-13T02-18-13+00-00	0
2021_103/2021-04-13T02-21-14+00-00	0
2021_103/2021-04-13T02-24-14+00-00	0
2021_103/2021-04-13T02-27-14+00-00	0
2021_103/2021-04-13T02-30-14+00-00	0
2021_103/2021-04-13T02-33-15+00-00	0
2021_103/2021-04-13T02-36-15+00-00	0
2021_103/2021-04-13T02-39-15+00-00	0
2021_103/2021-04-13T02-42-15+00-00	0
2021_103/2021-04-13T02-45-16+00-00	0
2021_103/2021-04-13T02-48-16+00-00	0
2021_103/2021-04-13T02-51-16+00-00	0
2021_103/2021-04-13T02-54-17+00-00	0
2021_103/2021-04-13T02-57-17+00-00	0
2021_103/2021-04-13T03-00-17+00-00	0
2021_103/2021-04-13T03-03-17+00-00	0
2021_103/2021-04-13T03-06-18+00-00	0
2021_103/2021-04-13T03-09-18+00-00	0
2021_103/2021-04-13T03-12-18+00-00	0
2021_103/2021-04-13T03-15-18+00-00	0
2021_103/2021-04-13T03-18-19+00-00	0
2021_103/2021-04-13T03-21-19+00-00	0
2021_103/2021-04-13T03-24-19+00-00	0
