"file"	"flag"
"2017_212/2017-07-31T19-19-08+00-00"	2
"2017_215/2017-08-03T00-38-11+00-00"	2
"2017_215/2017-08-03T00-41-11+00-00"	2
"2017_215/2017-08-03T00-44-11+00-00"	2
"2017_215/2017-08-03T00-47-11+00-00"	1
"2017_215/2017-08-03T00-56-12+00-00"	2
"2017_215/2017-08-03T01-32-15+00-00"	2
"2017_215/2017-08-03T01-35-15+00-00"	2
"2017_215/2017-08-03T01-38-16+00-00"	2
"2017_215/2017-08-03T01-41-16+00-00"	2
"2017_215/2017-08-03T01-44-16+00-00"	1
"2017_215/2017-08-03T01-47-16+00-00"	1
"2017_215/2017-08-03T01-50-16+00-00"	2
"2017_215/2017-08-03T01-53-17+00-00"	2
"2017_215/2017-08-03T01-56-17+00-00"	2
"2017_215/2017-08-03T01-59-17+00-00"	2
"2017_215/2017-08-03T02-08-18+00-00"	2
"2017_215/2017-08-03T02-14-19+00-00"	2
"2017_215/2017-08-03T02-17-19+00-00"	2
"2017_215/2017-08-03T02-20-19+00-00"	2
"2017_215/2017-08-03T02-23-19+00-00"	2
"2017_215/2017-08-03T02-26-20+00-00"	2
"2017_215/2017-08-03T02-32-20+00-00"	2
"2017_215/2017-08-03T02-35-20+00-00"	2
"2017_215/2017-08-03T02-38-21+00-00"	2
"2017_215/2017-08-03T02-41-21+00-00"	2
"2017_215/2017-08-03T02-44-21+00-00"	2
"2017_215/2017-08-03T02-47-21+00-00"	2
"2017_215/2017-08-03T02-50-22+00-00"	1
"2017_215/2017-08-03T02-53-22+00-00"	1
"2017_215/2017-08-03T02-56-22+00-00"	1
"2017_215/2017-08-03T02-59-22+00-00"	1
"2017_215/2017-08-03T03-02-23+00-00"	1
"2017_215/2017-08-03T03-05-23+00-00"	2
"2017_215/2017-08-03T03-08-23+00-00"	2
"2017_215/2017-08-03T03-11-23+00-00"	2
"2017_215/2017-08-03T03-14-24+00-00"	2
"2017_215/2017-08-03T03-23-24+00-00"	2
"2017_215/2017-08-03T03-26-25+00-00"	2
"2017_215/2017-08-03T03-29-25+00-00"	2
"2017_215/2017-08-03T03-32-25+00-00"	2
"2017_215/2017-08-03T03-35-25+00-00"	2
"2017_215/2017-08-03T03-38-26+00-00"	2
"2017_215/2017-08-03T03-41-26+00-00"	2
"2017_215/2017-08-03T03-44-26+00-00"	2
"2017_215/2017-08-03T03-47-26+00-00"	2
"2017_215/2017-08-03T03-50-27+00-00"	2
"2017_215/2017-08-03T03-53-27+00-00"	2
"2017_215/2017-08-03T03-56-27+00-00"	2
"2017_215/2017-08-03T03-59-27+00-00"	2
"2017_215/2017-08-03T04-02-28+00-00"	2
"2017_215/2017-08-03T04-05-28+00-00"	2
"2017_215/2017-08-03T04-08-28+00-00"	2
"2017_215/2017-08-03T04-11-28+00-00"	2
"2017_215/2017-08-03T04-20-29+00-00"	2
"2017_215/2017-08-03T04-26-30+00-00"	2
"2017_215/2017-08-03T04-29-30+00-00"	2
"2017_215/2017-08-03T04-32-30+00-00"	2
"2017_215/2017-08-03T04-38-31+00-00"	2
"2017_215/2017-08-03T04-44-31+00-00"	2
"2017_215/2017-08-03T04-59-32+00-00"	2
"2017_215/2017-08-03T05-05-33+00-00"	2
"2017_215/2017-08-03T05-08-33+00-00"	2
"2017_215/2017-08-03T05-26-35+00-00"	1
"2017_215/2017-08-03T05-29-35+00-00"	2
"2017_215/2017-08-03T05-32-35+00-00"	2
"2017_215/2017-08-03T05-35-35+00-00"	2
"2017_215/2017-08-03T06-05-38+00-00"	2
"2017_215/2017-08-03T06-11-38+00-00"	2
"2017_215/2017-08-03T06-35-40+00-00"	2
"2017_215/2017-08-03T06-56-42+00-00"	2
"2017_215/2017-08-03T07-11-43+00-00"	2
"2017_215/2017-08-03T07-14-43+00-00"	2
"2017_215/2017-08-03T07-20-44+00-00"	2
"2017_215/2017-08-03T07-59-47+00-00"	2
"2017_215/2017-08-03T08-02-47+00-00"	2
"2017_215/2017-08-03T08-05-48+00-00"	2
"2017_215/2017-08-03T08-08-48+00-00"	2
"2017_215/2017-08-03T08-11-48+00-00"	2
"2017_215/2017-08-03T08-14-48+00-00"	2
