file	flag
2017_248/2017-09-05T19-59-37+00-00	1
2017_248/2017-09-05T20-04-29+00-00	1
2017_248/2017-09-05T20-07-29+00-00	1
2017_248/2017-09-05T20-10-30+00-00	1
2017_248/2017-09-05T20-13-30+00-00	1
2017_248/2017-09-05T20-16-30+00-00	1
2017_248/2017-09-05T20-19-31+00-00	1
2017_248/2017-09-05T20-22-31+00-00	1
2017_248/2017-09-05T20-25-31+00-00	1
2017_248/2017-09-05T20-28-31+00-00	1
2017_248/2017-09-05T20-31-31+00-00	1
2017_248/2017-09-05T20-34-32+00-00	1
2017_248/2017-09-05T20-37-32+00-00	1
2017_248/2017-09-05T20-40-32+00-00	1
2017_248/2017-09-05T20-43-32+00-00	1
2017_248/2017-09-05T20-46-33+00-00	1
2017_248/2017-09-05T20-49-33+00-00	1
2017_248/2017-09-05T20-52-33+00-00	1
2017_248/2017-09-05T20-55-33+00-00	1
2017_248/2017-09-05T20-58-34+00-00	1
2017_248/2017-09-05T21-01-34+00-00	1
2017_248/2017-09-05T21-04-34+00-00	1
2017_248/2017-09-05T21-07-34+00-00	1
2017_248/2017-09-05T21-10-35+00-00	1
2017_248/2017-09-05T21-13-35+00-00	1
2017_248/2017-09-05T21-16-35+00-00	1
2017_248/2017-09-05T21-19-35+00-00	1
2017_248/2017-09-05T21-22-36+00-00	1
2017_248/2017-09-05T21-25-36+00-00	1
2017_248/2017-09-05T21-28-36+00-00	1
2017_248/2017-09-05T21-31-36+00-00	1
2017_248/2017-09-05T21-34-37+00-00	1
2017_248/2017-09-05T21-37-37+00-00	1
2017_248/2017-09-05T21-40-37+00-00	1
2017_248/2017-09-05T21-43-37+00-00	1
2017_248/2017-09-05T21-46-38+00-00	1
2017_248/2017-09-05T21-49-38+00-00	1
2017_248/2017-09-05T21-52-38+00-00	1
2017_248/2017-09-05T21-55-38+00-00	1
2017_248/2017-09-05T21-58-38+00-00	1
2017_248/2017-09-05T22-01-39+00-00	1
2017_248/2017-09-05T22-04-39+00-00	1
2017_248/2017-09-05T22-07-39+00-00	1
2017_248/2017-09-05T22-10-39+00-00	1
2017_248/2017-09-05T22-13-40+00-00	1
2017_248/2017-09-05T22-16-40+00-00	1
2017_248/2017-09-05T22-19-40+00-00	1
2017_248/2017-09-05T22-22-41+00-00	1
2017_248/2017-09-05T22-25-41+00-00	1
2017_248/2017-09-05T22-28-41+00-00	1
2017_248/2017-09-05T22-31-41+00-00	1
2017_248/2017-09-05T22-34-42+00-00	1
2017_248/2017-09-05T22-37-42+00-00	1
2017_248/2017-09-05T22-40-42+00-00	1
2017_248/2017-09-05T22-43-42+00-00	1
2017_248/2017-09-05T22-46-43+00-00	1
2017_248/2017-09-05T22-49-43+00-00	1
2017_248/2017-09-05T22-52-43+00-00	1
2017_248/2017-09-05T22-55-43+00-00	1
2017_248/2017-09-05T22-58-44+00-00	1
2017_248/2017-09-05T23-01-44+00-00	1
2017_248/2017-09-05T23-04-44+00-00	1
2017_248/2017-09-05T23-07-44+00-00	1
2017_248/2017-09-05T23-10-45+00-00	1
2017_248/2017-09-05T23-13-45+00-00	1
2017_248/2017-09-05T23-16-45+00-00	1
2017_248/2017-09-05T23-19-45+00-00	1
2017_248/2017-09-05T23-22-46+00-00	1
2017_248/2017-09-05T23-25-46+00-00	1
2017_248/2017-09-05T23-28-46+00-00	1
2017_248/2017-09-05T23-31-46+00-00	1
2017_248/2017-09-05T23-34-47+00-00	1
2017_248/2017-09-05T23-37-47+00-00	1
2017_248/2017-09-05T23-40-47+00-00	1
2017_248/2017-09-05T23-43-47+00-00	1
2017_248/2017-09-05T23-46-48+00-00	1
2017_248/2017-09-05T23-49-48+00-00	1
2017_248/2017-09-05T23-52-48+00-00	1
2017_248/2017-09-05T23-55-48+00-00	1
2017_248/2017-09-05T23-58-49+00-00	1
2017_249/2017-09-06T00-00-02+00-00	1
2017_249/2017-09-06T00-03-02+00-00	1
2017_249/2017-09-06T00-06-02+00-00	1
2017_249/2017-09-06T00-09-02+00-00	1
2017_249/2017-09-06T00-12-03+00-00	1
2017_249/2017-09-06T00-15-03+00-00	1
2017_249/2017-09-06T00-18-03+00-00	1
2017_249/2017-09-06T00-21-03+00-00	1
2017_249/2017-09-06T00-24-04+00-00	1
2017_249/2017-09-06T00-27-04+00-00	1
2017_249/2017-09-06T00-30-04+00-00	1
2017_249/2017-09-06T00-33-04+00-00	1
2017_249/2017-09-06T00-36-05+00-00	1
2017_249/2017-09-06T00-39-05+00-00	1
2017_249/2017-09-06T00-42-05+00-00	1
2017_249/2017-09-06T00-45-05+00-00	1
2017_249/2017-09-06T00-48-06+00-00	1
2017_249/2017-09-06T00-51-06+00-00	1
2017_249/2017-09-06T00-54-06+00-00	1
2017_249/2017-09-06T00-57-06+00-00	1
2017_249/2017-09-06T01-00-07+00-00	1
2017_249/2017-09-06T01-03-07+00-00	1
2017_249/2017-09-06T01-06-07+00-00	1
2017_249/2017-09-06T01-09-07+00-00	1
2017_249/2017-09-06T01-12-08+00-00	1
2017_249/2017-09-06T01-15-08+00-00	1
2017_249/2017-09-06T01-18-08+00-00	1
2017_249/2017-09-06T01-21-08+00-00	1
2017_249/2017-09-06T01-24-09+00-00	1
2017_249/2017-09-06T01-27-09+00-00	1
2017_249/2017-09-06T01-30-09+00-00	1
2017_249/2017-09-06T01-33-09+00-00	1
2017_249/2017-09-06T01-36-10+00-00	1
2017_249/2017-09-06T01-39-10+00-00	1
2017_249/2017-09-06T01-42-10+00-00	1
2017_249/2017-09-06T01-45-10+00-00	1
2017_249/2017-09-06T01-48-11+00-00	1
2017_249/2017-09-06T01-51-11+00-00	1
2017_249/2017-09-06T01-54-11+00-00	1
