"file"	"flag"
"2019_101/2019-04-11T00-38-03+00-00"	1
"2019_101/2019-04-11T00-41-04+00-00"	0
"2019_101/2019-04-11T00-44-04+00-00"	0
"2019_101/2019-04-11T00-47-04+00-00"	0
"2019_101/2019-04-11T00-50-04+00-00"	0
"2019_101/2019-04-11T00-53-05+00-00"	0
"2019_101/2019-04-11T00-56-05+00-00"	1
"2019_101/2019-04-11T02-16-42+00-00"	0
"2019_101/2019-04-11T02-19-42+00-00"	0
"2019_101/2019-04-11T02-22-42+00-00"	0
"2019_101/2019-04-11T02-25-42+00-00"	0
"2019_101/2019-04-11T02-28-43+00-00"	0
"2019_101/2019-04-11T02-31-43+00-00"	0
"2019_101/2019-04-11T02-34-43+00-00"	0
"2019_101/2019-04-11T02-37-43+00-00"	0
"2019_101/2019-04-11T02-40-44+00-00"	0
"2019_101/2019-04-11T02-43-44+00-00"	0
"2019_101/2019-04-11T02-46-44+00-00"	0
"2019_101/2019-04-11T02-49-45+00-00"	0
"2019_101/2019-04-11T02-52-45+00-00"	0
"2019_101/2019-04-11T02-55-45+00-00"	0
"2019_101/2019-04-11T02-58-45+00-00"	0
"2019_101/2019-04-11T03-01-45+00-00"	0
"2019_101/2019-04-11T03-04-46+00-00"	0
"2019_101/2019-04-11T03-07-46+00-00"	0
"2019_101/2019-04-11T03-10-46+00-00"	0
"2019_101/2019-04-11T03-13-46+00-00"	0
"2019_101/2019-04-11T03-16-47+00-00"	0
"2019_101/2019-04-11T04-05-50+00-00"	1
"2019_101/2019-04-11T04-08-51+00-00"	0
"2019_101/2019-04-11T04-11-51+00-00"	0
"2019_101/2019-04-11T04-14-51+00-00"	0
"2019_101/2019-04-11T04-17-51+00-00"	0
"2019_101/2019-04-11T04-20-52+00-00"	0
"2019_101/2019-04-11T04-23-52+00-00"	0
"2019_101/2019-04-11T04-26-52+00-00"	0
"2019_101/2019-04-11T04-29-52+00-00"	0
"2019_101/2019-04-11T04-32-53+00-00"	2
"2019_101/2019-04-11T04-35-53+00-00"	0
"2019_101/2019-04-11T04-38-53+00-00"	2
"2019_101/2019-04-11T04-41-53+00-00"	0
"2019_101/2019-04-11T04-44-54+00-00"	0
"2019_101/2019-04-11T04-47-54+00-00"	0
"2019_101/2019-04-11T04-50-54+00-00"	0
"2019_101/2019-04-11T04-53-54+00-00"	0
"2019_101/2019-04-11T04-56-55+00-00"	0
"2019_101/2019-04-11T04-59-55+00-00"	0
"2019_101/2019-04-11T05-02-55+00-00"	0
"2019_101/2019-04-11T05-05-55+00-00"	2
"2019_101/2019-04-11T05-08-56+00-00"	0
"2019_101/2019-04-11T05-11-56+00-00"	0
"2019_101/2019-04-11T05-14-56+00-00"	0
"2019_101/2019-04-11T05-17-56+00-00"	1
"2019_101/2019-04-11T07-05-19+00-00"	1
"2019_101/2019-04-11T07-08-19+00-00"	0
"2019_101/2019-04-11T07-11-20+00-00"	0
"2019_101/2019-04-11T07-14-20+00-00"	0
"2019_101/2019-04-11T07-17-20+00-00"	0
"2019_101/2019-04-11T07-20-20+00-00"	0
"2019_101/2019-04-11T07-23-21+00-00"	0
"2019_101/2019-04-11T07-26-21+00-00"	0
"2019_101/2019-04-11T07-29-21+00-00"	0
