"file"	"flag"
"2019_340/2019-12-06T22-15-37+00-00"	1
"2019_340/2019-12-06T22-18-37+00-00"	3
"2019_340/2019-12-06T22-21-37+00-00"	0
"2019_340/2019-12-06T22-24-37+00-00"	0
"2019_340/2019-12-06T22-27-38+00-00"	0
"2019_340/2019-12-06T22-30-38+00-00"	0
"2019_340/2019-12-06T22-33-38+00-00"	0
"2019_340/2019-12-06T22-36-38+00-00"	0
"2019_340/2019-12-06T22-39-39+00-00"	0
"2019_340/2019-12-06T22-42-39+00-00"	1
"2019_340/2019-12-06T22-44-24+00-00"	0
"2019_340/2019-12-06T22-47-24+00-00"	0
"2019_340/2019-12-06T22-50-25+00-00"	0
"2019_340/2019-12-06T22-53-25+00-00"	0
"2019_340/2019-12-06T22-56-25+00-00"	0
"2019_340/2019-12-06T22-59-25+00-00"	0
"2019_340/2019-12-06T23-02-26+00-00"	1
"2019_340/2019-12-06T23-07-41+00-00"	0
"2019_340/2019-12-06T23-10-41+00-00"	0
"2019_340/2019-12-06T23-13-42+00-00"	0
"2019_340/2019-12-06T23-16-42+00-00"	0
"2019_340/2019-12-06T23-19-42+00-00"	0
"2019_340/2019-12-06T23-22-42+00-00"	0
"2019_340/2019-12-06T23-25-43+00-00"	0
"2019_340/2019-12-06T23-28-43+00-00"	0
"2019_340/2019-12-06T23-31-43+00-00"	0
"2019_340/2019-12-06T23-34-43+00-00"	0
"2019_340/2019-12-06T23-37-44+00-00"	0
"2019_340/2019-12-06T23-40-44+00-00"	0
"2019_340/2019-12-06T23-43-44+00-00"	0
"2019_340/2019-12-06T23-46-44+00-00"	0
"2019_340/2019-12-06T23-49-45+00-00"	0
"2019_340/2019-12-06T23-52-45+00-00"	0
"2019_340/2019-12-06T23-55-45+00-00"	0
"2019_340/2019-12-06T23-58-45+00-00"	1
"2019_341/2019-12-07T00-00-02+00-00"	0
"2019_341/2019-12-07T00-03-02+00-00"	0
"2019_341/2019-12-07T00-06-02+00-00"	0
"2019_341/2019-12-07T00-09-02+00-00"	0
"2019_341/2019-12-07T00-12-03+00-00"	0
"2019_341/2019-12-07T00-15-03+00-00"	0
"2019_341/2019-12-07T00-18-03+00-00"	0
"2019_341/2019-12-07T00-21-03+00-00"	0
"2019_341/2019-12-07T00-24-04+00-00"	0
"2019_341/2019-12-07T00-27-04+00-00"	0
"2019_341/2019-12-07T00-30-04+00-00"	0
"2019_341/2019-12-07T00-33-04+00-00"	0
"2019_341/2019-12-07T00-36-05+00-00"	0
"2019_341/2019-12-07T00-39-05+00-00"	0
"2019_341/2019-12-07T00-42-05+00-00"	0
"2019_341/2019-12-07T00-45-05+00-00"	0
"2019_341/2019-12-07T00-48-06+00-00"	0
"2019_341/2019-12-07T00-51-06+00-00"	0
"2019_341/2019-12-07T00-54-06+00-00"	0
"2019_341/2019-12-07T00-57-06+00-00"	0
"2019_341/2019-12-07T01-00-07+00-00"	0
"2019_341/2019-12-07T01-03-07+00-00"	0
"2019_341/2019-12-07T01-06-07+00-00"	0
"2019_341/2019-12-07T01-09-07+00-00"	0
"2019_341/2019-12-07T01-12-08+00-00"	0
"2019_341/2019-12-07T01-15-08+00-00"	0
"2019_341/2019-12-07T01-18-08+00-00"	0
"2019_341/2019-12-07T01-21-08+00-00"	0
"2019_341/2019-12-07T01-24-09+00-00"	0
"2019_341/2019-12-07T01-27-09+00-00"	0
"2019_341/2019-12-07T01-30-09+00-00"	0
"2019_341/2019-12-07T01-33-09+00-00"	0
"2019_341/2019-12-07T01-36-10+00-00"	0
"2019_341/2019-12-07T01-39-10+00-00"	0
"2019_341/2019-12-07T01-42-10+00-00"	0
"2019_341/2019-12-07T01-45-10+00-00"	0
"2019_341/2019-12-07T01-48-11+00-00"	0
"2019_341/2019-12-07T01-51-11+00-00"	0
"2019_341/2019-12-07T01-54-11+00-00"	0
"2019_341/2019-12-07T01-57-11+00-00"	0
"2019_341/2019-12-07T02-00-12+00-00"	0
"2019_341/2019-12-07T02-03-12+00-00"	0
"2019_341/2019-12-07T02-06-12+00-00"	0
"2019_341/2019-12-07T02-09-12+00-00"	0
"2019_341/2019-12-07T02-12-13+00-00"	0
"2019_341/2019-12-07T02-15-13+00-00"	0
"2019_341/2019-12-07T02-18-13+00-00"	0
"2019_341/2019-12-07T02-21-13+00-00"	0
"2019_341/2019-12-07T02-24-14+00-00"	0
"2019_341/2019-12-07T02-27-14+00-00"	0
"2019_341/2019-12-07T02-30-14+00-00"	1
"2019_341/2019-12-07T02-33-14+00-00"	0
"2019_341/2019-12-07T02-36-15+00-00"	0
"2019_341/2019-12-07T02-39-15+00-00"	0
"2019_341/2019-12-07T02-42-15+00-00"	0
"2019_341/2019-12-07T02-45-15+00-00"	0
"2019_341/2019-12-07T02-48-16+00-00"	0
"2019_341/2019-12-07T02-51-16+00-00"	0
"2019_341/2019-12-07T02-54-16+00-00"	0
"2019_341/2019-12-07T02-57-16+00-00"	0
"2019_341/2019-12-07T03-00-17+00-00"	0
"2019_341/2019-12-07T03-03-17+00-00"	0
"2019_341/2019-12-07T03-06-17+00-00"	0
"2019_341/2019-12-07T03-09-17+00-00"	0
"2019_341/2019-12-07T03-12-18+00-00"	0
"2019_341/2019-12-07T03-15-18+00-00"	0
"2019_341/2019-12-07T03-18-18+00-00"	0
