file	flag
2018_188/2018-07-07T23-30-25+00-00	1
2018_188/2018-07-07T23-33-25+00-00	0
2018_188/2018-07-07T23-36-26+00-00	1
2018_188/2018-07-07T23-39-26+00-00	0
2018_188/2018-07-07T23-42-26+00-00	0
2018_188/2018-07-07T23-45-27+00-00	0
2018_188/2018-07-07T23-48-27+00-00	0
2018_188/2018-07-07T23-51-27+00-00	0
2018_188/2018-07-07T23-54-27+00-00	0
2018_188/2018-07-07T23-57-28+00-00	1
2018_189/2018-07-08T00-00-02+00-00	0
2018_189/2018-07-08T00-03-02+00-00	0
2018_189/2018-07-08T00-06-02+00-00	0
2018_189/2018-07-08T00-09-02+00-00	0
2018_189/2018-07-08T00-12-02+00-00	0
2018_189/2018-07-08T00-15-03+00-00	0
2018_189/2018-07-08T00-18-03+00-00	0
2018_189/2018-07-08T00-21-03+00-00	0
2018_189/2018-07-08T00-24-03+00-00	0
2018_189/2018-07-08T00-27-04+00-00	0
2018_189/2018-07-08T00-30-04+00-00	0
2018_189/2018-07-08T00-33-04+00-00	0
2018_189/2018-07-08T00-36-04+00-00	1
2018_189/2018-07-08T00-42-05+00-00	1
2018_189/2018-07-08T00-48-05+00-00	1
2018_189/2018-07-08T00-51-05+00-00	1
2018_189/2018-07-08T00-54-06+00-00	1
2018_189/2018-07-08T01-00-06+00-00	1
2018_189/2018-07-08T01-06-07+00-00	1
2018_189/2018-07-08T01-09-07+00-00	1
2018_189/2018-07-08T01-12-13+00-00	1
2018_189/2018-07-08T01-12-24+00-00	1
2018_189/2018-07-08T01-12-53+00-00	0
2018_189/2018-07-08T01-15-54+00-00	0
2018_189/2018-07-08T01-18-54+00-00	0
2018_189/2018-07-08T01-21-54+00-00	0
2018_189/2018-07-08T01-24-54+00-00	0
2018_189/2018-07-08T01-27-55+00-00	0
2018_189/2018-07-08T01-30-55+00-00	0
2018_189/2018-07-08T01-33-55+00-00	0
2018_189/2018-07-08T01-36-55+00-00	0
2018_189/2018-07-08T01-39-56+00-00	0
2018_189/2018-07-08T01-42-56+00-00	0
2018_189/2018-07-08T01-45-56+00-00	0
2018_189/2018-07-08T01-48-56+00-00	0
2018_189/2018-07-08T01-51-57+00-00	0
2018_189/2018-07-08T01-54-57+00-00	0
2018_189/2018-07-08T01-57-57+00-00	0
2018_189/2018-07-08T02-00-57+00-00	0
2018_189/2018-07-08T02-03-58+00-00	0
2018_189/2018-07-08T02-06-58+00-00	0
2018_189/2018-07-08T02-09-58+00-00	0
2018_189/2018-07-08T02-12-58+00-00	0
2018_189/2018-07-08T02-15-59+00-00	0
2018_189/2018-07-08T02-18-59+00-00	0
2018_189/2018-07-08T02-21-59+00-00	0
2018_189/2018-07-08T02-24-59+00-00	0
2018_189/2018-07-08T02-27-59+00-00	0
2018_189/2018-07-08T02-31-00+00-00	0
2018_189/2018-07-08T02-34-00+00-00	0
2018_189/2018-07-08T02-37-00+00-00	0
2018_189/2018-07-08T02-40-00+00-00	0
2018_189/2018-07-08T02-43-01+00-00	0
2018_189/2018-07-08T02-46-01+00-00	0
2018_189/2018-07-08T02-49-01+00-00	0
2018_189/2018-07-08T02-52-01+00-00	0
2018_189/2018-07-08T02-55-01+00-00	0
2018_189/2018-07-08T02-58-02+00-00	0
2018_189/2018-07-08T03-01-02+00-00	0
2018_189/2018-07-08T03-04-02+00-00	0
2018_189/2018-07-08T03-07-02+00-00	0
2018_189/2018-07-08T03-10-03+00-00	0
2018_189/2018-07-08T03-13-03+00-00	0
2018_189/2018-07-08T03-16-03+00-00	0
2018_189/2018-07-08T03-19-03+00-00	0
2018_189/2018-07-08T03-22-04+00-00	1
2018_189/2018-07-08T03-25-04+00-00	0
2018_189/2018-07-08T03-28-04+00-00	0
2018_189/2018-07-08T03-31-04+00-00	0
2018_189/2018-07-08T03-34-05+00-00	0
2018_189/2018-07-08T03-37-05+00-00	0
2018_189/2018-07-08T03-40-05+00-00	0
2018_189/2018-07-08T03-43-05+00-00	0
2018_189/2018-07-08T03-46-06+00-00	0
2018_189/2018-07-08T03-49-06+00-00	3
2018_189/2018-07-08T03-52-06+00-00	0
2018_189/2018-07-08T03-55-06+00-00	0
2018_189/2018-07-08T03-58-07+00-00	1
2018_189/2018-07-08T04-01-07+00-00	0
2018_189/2018-07-08T04-04-07+00-00	0
2018_189/2018-07-08T04-07-07+00-00	0
2018_189/2018-07-08T04-10-07+00-00	0
2018_189/2018-07-08T04-13-08+00-00	0
2018_189/2018-07-08T04-16-08+00-00	0
2018_189/2018-07-08T04-19-08+00-00	0
2018_189/2018-07-08T04-22-08+00-00	0
2018_189/2018-07-08T04-25-09+00-00	0
2018_189/2018-07-08T04-28-09+00-00	0
2018_189/2018-07-08T04-31-09+00-00	0
2018_189/2018-07-08T04-34-09+00-00	0
2018_189/2018-07-08T04-37-10+00-00	0
2018_189/2018-07-08T04-40-10+00-00	0
2018_189/2018-07-08T04-43-10+00-00	0
2018_189/2018-07-08T04-46-10+00-00	0
2018_189/2018-07-08T04-49-11+00-00	0
2018_189/2018-07-08T04-52-11+00-00	0
2018_189/2018-07-08T04-55-11+00-00	0
2018_189/2018-07-08T04-58-11+00-00	0
2018_189/2018-07-08T05-01-11+00-00	0
2018_189/2018-07-08T05-04-12+00-00	0
2018_189/2018-07-08T05-07-12+00-00	0
2018_189/2018-07-08T05-10-12+00-00	0
2018_189/2018-07-08T05-13-12+00-00	0
2018_189/2018-07-08T05-16-13+00-00	0
2018_189/2018-07-08T05-19-13+00-00	0
2018_189/2018-07-08T05-22-13+00-00	0
2018_189/2018-07-08T05-25-13+00-00	0
2018_189/2018-07-08T05-28-14+00-00	0
2018_189/2018-07-08T05-31-14+00-00	0
2018_189/2018-07-08T05-34-14+00-00	0
2018_189/2018-07-08T05-37-14+00-00	0
2018_189/2018-07-08T05-40-14+00-00	0
2018_189/2018-07-08T05-43-15+00-00	0
2018_189/2018-07-08T05-46-15+00-00	0
2018_189/2018-07-08T05-49-15+00-00	0
2018_189/2018-07-08T05-52-15+00-00	0
2018_189/2018-07-08T05-55-16+00-00	0
2018_189/2018-07-08T05-58-16+00-00	0
2018_189/2018-07-08T06-01-16+00-00	0
2018_189/2018-07-08T06-04-16+00-00	0
2018_189/2018-07-08T06-07-17+00-00	0
2018_189/2018-07-08T06-10-17+00-00	0
2018_189/2018-07-08T06-13-17+00-00	0
2018_189/2018-07-08T06-16-17+00-00	0
2018_189/2018-07-08T06-19-17+00-00	0
2018_189/2018-07-08T06-22-18+00-00	0
2018_189/2018-07-08T06-25-18+00-00	0
2018_189/2018-07-08T06-28-18+00-00	0
2018_189/2018-07-08T06-31-18+00-00	0
2018_189/2018-07-08T06-34-19+00-00	0
2018_189/2018-07-08T06-37-19+00-00	0
2018_189/2018-07-08T06-40-19+00-00	0
2018_189/2018-07-08T06-43-19+00-00	0
2018_189/2018-07-08T06-46-20+00-00	0
2018_189/2018-07-08T06-49-20+00-00	0
2018_189/2018-07-08T06-52-20+00-00	0
2018_189/2018-07-08T06-55-20+00-00	0
2018_189/2018-07-08T06-58-21+00-00	0
2018_189/2018-07-08T07-01-21+00-00	0
2018_189/2018-07-08T07-04-21+00-00	0
2018_189/2018-07-08T07-07-21+00-00	0
2018_189/2018-07-08T07-10-22+00-00	0
2018_189/2018-07-08T07-13-22+00-00	0
2018_189/2018-07-08T07-16-22+00-00	0
2018_189/2018-07-08T07-19-22+00-00	0
2018_189/2018-07-08T07-22-23+00-00	0
2018_189/2018-07-08T07-25-23+00-00	0
2018_189/2018-07-08T07-28-23+00-00	0
2018_189/2018-07-08T07-31-23+00-00	0
2018_189/2018-07-08T07-34-23+00-00	0
2018_189/2018-07-08T07-37-24+00-00	0
2018_189/2018-07-08T07-40-24+00-00	1
2018_189/2018-07-08T07-43-24+00-00	0
2018_189/2018-07-08T07-46-24+00-00	0
2018_189/2018-07-08T07-49-25+00-00	0
2018_189/2018-07-08T07-52-25+00-00	0
2018_189/2018-07-08T07-55-25+00-00	0
2018_189/2018-07-08T07-58-25+00-00	0
2018_189/2018-07-08T08-01-26+00-00	0
2018_189/2018-07-08T08-04-26+00-00	0
2018_189/2018-07-08T08-07-26+00-00	0
2018_189/2018-07-08T08-10-26+00-00	0
2018_189/2018-07-08T08-13-27+00-00	0
2018_189/2018-07-08T08-16-27+00-00	0
2018_189/2018-07-08T08-19-27+00-00	0
2018_189/2018-07-08T08-22-27+00-00	0
2018_189/2018-07-08T08-25-28+00-00	0
2018_189/2018-07-08T08-28-28+00-00	0
2018_189/2018-07-08T08-31-28+00-00	0
2018_189/2018-07-08T08-34-28+00-00	0
2018_189/2018-07-08T08-37-29+00-00	0
