file	flag
2017_177/2017-06-26T22-30-09+00-00	1
2017_177/2017-06-26T22-33-09+00-00	3
2017_177/2017-06-26T22-36-10+00-00	0
2017_177/2017-06-26T22-39-10+00-00	0
2017_177/2017-06-26T22-42-10+00-00	0
2017_177/2017-06-26T22-45-10+00-00	3
2017_177/2017-06-26T22-48-11+00-00	0
2017_177/2017-06-26T22-51-11+00-00	0
2017_177/2017-06-26T22-54-11+00-00	0
2017_177/2017-06-26T22-57-11+00-00	0
2017_177/2017-06-26T23-00-12+00-00	0
2017_177/2017-06-26T23-03-12+00-00	3
2017_177/2017-06-26T23-06-12+00-00	1
2017_177/2017-06-26T23-09-12+00-00	1
2017_177/2017-06-26T23-12-13+00-00	1
2017_177/2017-06-26T23-15-13+00-00	3
2017_177/2017-06-26T23-18-13+00-00	0
2017_177/2017-06-26T23-21-13+00-00	0
2017_177/2017-06-26T23-24-13+00-00	0
2017_177/2017-06-26T23-27-14+00-00	0
2017_177/2017-06-26T23-30-14+00-00	0
2017_177/2017-06-26T23-33-14+00-00	0
2017_177/2017-06-26T23-36-14+00-00	0
2017_177/2017-06-26T23-39-14+00-00	0
2017_177/2017-06-26T23-42-15+00-00	0
2017_177/2017-06-26T23-45-15+00-00	0
2017_177/2017-06-26T23-48-15+00-00	0
2017_177/2017-06-26T23-51-15+00-00	0
2017_177/2017-06-26T23-54-16+00-00	3
2017_177/2017-06-26T23-57-16+00-00	1
2017_178/2017-06-27T00-00-02+00-00	0
2017_178/2017-06-27T00-03-02+00-00	0
2017_178/2017-06-27T00-06-02+00-00	0
2017_178/2017-06-27T00-09-02+00-00	0
2017_178/2017-06-27T00-12-02+00-00	0
2017_178/2017-06-27T00-15-03+00-00	3
2017_178/2017-06-27T00-18-03+00-00	0
2017_178/2017-06-27T00-21-03+00-00	0
2017_178/2017-06-27T00-24-03+00-00	0
2017_178/2017-06-27T00-27-04+00-00	0
2017_178/2017-06-27T00-30-04+00-00	0
2017_178/2017-06-27T00-33-04+00-00	0
2017_178/2017-06-27T00-36-04+00-00	0
2017_178/2017-06-27T00-39-04+00-00	0
2017_178/2017-06-27T00-42-05+00-00	0
2017_178/2017-06-27T00-45-05+00-00	0
2017_178/2017-06-27T00-48-05+00-00	0
2017_178/2017-06-27T00-51-05+00-00	0
2017_178/2017-06-27T00-54-05+00-00	0
2017_178/2017-06-27T00-57-06+00-00	0
2017_178/2017-06-27T01-00-06+00-00	0
2017_178/2017-06-27T01-03-06+00-00	0
2017_178/2017-06-27T01-06-06+00-00	0
2017_178/2017-06-27T01-09-07+00-00	0
2017_178/2017-06-27T01-12-07+00-00	0
2017_178/2017-06-27T01-15-07+00-00	0
2017_178/2017-06-27T01-18-07+00-00	0
2017_178/2017-06-27T01-21-07+00-00	0
2017_178/2017-06-27T01-24-08+00-00	0
2017_178/2017-06-27T01-27-08+00-00	0
2017_178/2017-06-27T01-30-08+00-00	0
2017_178/2017-06-27T01-33-08+00-00	0
2017_178/2017-06-27T01-36-09+00-00	0
2017_178/2017-06-27T01-39-09+00-00	0
2017_178/2017-06-27T01-42-09+00-00	0
2017_178/2017-06-27T01-45-09+00-00	0
2017_178/2017-06-27T01-48-09+00-00	0
2017_178/2017-06-27T01-51-10+00-00	0
2017_178/2017-06-27T01-54-10+00-00	0
2017_178/2017-06-27T01-57-10+00-00	0
2017_178/2017-06-27T02-00-10+00-00	0
2017_178/2017-06-27T02-03-10+00-00	0
2017_178/2017-06-27T02-06-11+00-00	0
2017_178/2017-06-27T02-09-11+00-00	0
2017_178/2017-06-27T02-12-11+00-00	0
2017_178/2017-06-27T02-15-11+00-00	0
2017_178/2017-06-27T02-18-12+00-00	0
2017_178/2017-06-27T02-21-12+00-00	0
2017_178/2017-06-27T02-24-12+00-00	0
2017_178/2017-06-27T02-27-12+00-00	0
2017_178/2017-06-27T02-30-12+00-00	1
2017_178/2017-06-27T02-33-13+00-00	0
2017_178/2017-06-27T02-36-13+00-00	0
2017_178/2017-06-27T02-39-13+00-00	0
2017_178/2017-06-27T02-42-13+00-00	0
2017_178/2017-06-27T02-45-14+00-00	0
2017_178/2017-06-27T02-48-14+00-00	0
2017_178/2017-06-27T02-51-14+00-00	0
2017_178/2017-06-27T02-54-14+00-00	0
2017_178/2017-06-27T02-57-14+00-00	0
2017_178/2017-06-27T03-00-15+00-00	0
2017_178/2017-06-27T03-03-15+00-00	0
2017_178/2017-06-27T03-06-15+00-00	0
2017_178/2017-06-27T03-09-15+00-00	0
2017_178/2017-06-27T03-12-15+00-00	0
2017_178/2017-06-27T03-15-16+00-00	0
2017_178/2017-06-27T03-18-16+00-00	0
2017_178/2017-06-27T03-21-16+00-00	0
2017_178/2017-06-27T03-24-16+00-00	0
2017_178/2017-06-27T03-27-17+00-00	0
2017_178/2017-06-27T03-30-17+00-00	0
2017_178/2017-06-27T03-33-17+00-00	0
2017_178/2017-06-27T03-36-17+00-00	0
2017_178/2017-06-27T03-39-17+00-00	0
2017_178/2017-06-27T03-42-18+00-00	0
2017_178/2017-06-27T03-45-18+00-00	0
2017_178/2017-06-27T03-48-18+00-00	0
2017_178/2017-06-27T03-51-18+00-00	0
2017_178/2017-06-27T03-54-18+00-00	0
2017_178/2017-06-27T03-57-19+00-00	0
2017_178/2017-06-27T04-00-19+00-00	0
2017_178/2017-06-27T04-03-19+00-00	0
2017_178/2017-06-27T04-06-19+00-00	0
2017_178/2017-06-27T04-09-20+00-00	0
2017_178/2017-06-27T04-12-20+00-00	0
2017_178/2017-06-27T04-15-20+00-00	0
2017_178/2017-06-27T04-18-20+00-00	0
2017_178/2017-06-27T04-21-20+00-00	0
2017_178/2017-06-27T04-24-21+00-00	0
2017_178/2017-06-27T04-27-21+00-00	0
2017_178/2017-06-27T04-30-21+00-00	0
2017_178/2017-06-27T04-33-21+00-00	0
2017_178/2017-06-27T04-36-21+00-00	0
2017_178/2017-06-27T04-39-22+00-00	3
2017_178/2017-06-27T04-42-22+00-00	0
2017_178/2017-06-27T04-45-22+00-00	0
2017_178/2017-06-27T04-48-22+00-00	0
2017_178/2017-06-27T04-51-23+00-00	0
2017_178/2017-06-27T04-54-23+00-00	0
2017_178/2017-06-27T04-57-23+00-00	0
2017_178/2017-06-27T05-00-23+00-00	0
2017_178/2017-06-27T05-03-23+00-00	0
2017_178/2017-06-27T05-06-24+00-00	0
