file	flag
2017_146/2017-05-26T22-34-53+00-00	1
2017_146/2017-05-26T22-37-53+00-00	1
2017_146/2017-05-26T22-40-53+00-00	1
2017_146/2017-05-26T22-43-54+00-00	1
2017_146/2017-05-26T22-46-54+00-00	1
2017_146/2017-05-26T22-49-54+00-00	1
2017_146/2017-05-26T22-52-54+00-00	1
2017_146/2017-05-26T22-55-54+00-00	1
2017_146/2017-05-26T22-58-55+00-00	1
2017_146/2017-05-26T23-01-55+00-00	1
2017_146/2017-05-26T23-04-55+00-00	1
2017_146/2017-05-26T23-07-55+00-00	1
2017_146/2017-05-26T23-10-56+00-00	1
2017_146/2017-05-26T23-13-56+00-00	1
2017_146/2017-05-26T23-16-56+00-00	1
2017_146/2017-05-26T23-19-56+00-00	1
2017_146/2017-05-26T23-22-57+00-00	1
2017_146/2017-05-26T23-25-57+00-00	1
2017_146/2017-05-26T23-28-57+00-00	1
2017_146/2017-05-26T23-31-57+00-00	1
2017_146/2017-05-26T23-34-58+00-00	1
2017_146/2017-05-26T23-37-58+00-00	1
2017_146/2017-05-26T23-40-58+00-00	1
2017_146/2017-05-26T23-43-58+00-00	1
2017_146/2017-05-26T23-46-59+00-00	1
2017_146/2017-05-26T23-49-59+00-00	1
2017_146/2017-05-26T23-52-59+00-00	1
2017_146/2017-05-26T23-56-00+00-00	1
2017_146/2017-05-26T23-59-00+00-00	1
2017_147/2017-05-27T00-00-01+00-00	1
2017_147/2017-05-27T00-03-02+00-00	1
2017_147/2017-05-27T00-06-02+00-00	1
2017_147/2017-05-27T00-09-02+00-00	1
2017_147/2017-05-27T00-12-02+00-00	1
2017_147/2017-05-27T00-15-03+00-00	1
2017_147/2017-05-27T00-18-03+00-00	1
2017_147/2017-05-27T00-21-03+00-00	1
2017_147/2017-05-27T00-24-03+00-00	1
2017_147/2017-05-27T00-27-04+00-00	1
2017_147/2017-05-27T00-30-04+00-00	1
2017_147/2017-05-27T00-33-04+00-00	1
2017_147/2017-05-27T00-36-04+00-00	1
2017_147/2017-05-27T00-39-05+00-00	1
2017_147/2017-05-27T00-42-05+00-00	1
2017_147/2017-05-27T00-45-05+00-00	1
2017_147/2017-05-27T00-48-05+00-00	1
2017_147/2017-05-27T00-51-06+00-00	1
2017_147/2017-05-27T00-54-06+00-00	1
2017_147/2017-05-27T00-57-06+00-00	1
2017_147/2017-05-27T01-00-06+00-00	1
2017_147/2017-05-27T01-03-07+00-00	1
2017_147/2017-05-27T01-06-07+00-00	1
2017_147/2017-05-27T01-09-07+00-00	1
2017_147/2017-05-27T01-12-07+00-00	1
2017_147/2017-05-27T01-15-08+00-00	1
2017_147/2017-05-27T01-18-08+00-00	1
2017_147/2017-05-27T01-21-08+00-00	1
2017_147/2017-05-27T01-24-09+00-00	1
2017_147/2017-05-27T01-27-09+00-00	1
2017_147/2017-05-27T01-30-09+00-00	1
2017_147/2017-05-27T01-33-09+00-00	1
2017_147/2017-05-27T01-36-10+00-00	1
2017_147/2017-05-27T01-39-10+00-00	1
2017_147/2017-05-27T01-42-10+00-00	1
2017_147/2017-05-27T01-45-10+00-00	1
2017_147/2017-05-27T01-48-11+00-00	1
2017_147/2017-05-27T01-51-11+00-00	1
2017_147/2017-05-27T01-54-11+00-00	1
2017_147/2017-05-27T01-57-11+00-00	1
2017_147/2017-05-27T02-00-12+00-00	1
2017_147/2017-05-27T02-03-12+00-00	1
2017_147/2017-05-27T02-06-12+00-00	1
2017_147/2017-05-27T02-09-12+00-00	1
2017_147/2017-05-27T03-13-08+00-00	1
2017_147/2017-05-27T03-16-09+00-00	1
2017_147/2017-05-27T03-19-09+00-00	1
2017_147/2017-05-27T03-22-09+00-00	1
