file	flag
2022_216/2022-08-04T21-39-58+00-00	1
2022_216/2022-08-04T21-42-58+00-00	3
2022_216/2022-08-04T21-45-59+00-00	3
2022_216/2022-08-04T21-48-59+00-00	3
2022_216/2022-08-04T21-51-59+00-00	3
2022_216/2022-08-04T21-54-59+00-00	3
2022_216/2022-08-04T21-58-00+00-00	0
2022_216/2022-08-04T22-01-00+00-00	0
2022_216/2022-08-04T22-04-00+00-00	1
2022_216/2022-08-04T22-24-05+00-00	1
2022_216/2022-08-04T22-27-05+00-00	1
2022_216/2022-08-04T22-30-06+00-00	1
2022_216/2022-08-04T22-33-06+00-00	1
2022_216/2022-08-04T22-36-09+00-00	1
2022_216/2022-08-04T22-39-09+00-00	1
2022_217/2022-08-05T00-00-02+00-00	1
2022_217/2022-08-05T00-03-02+00-00	1
2022_217/2022-08-05T00-06-02+00-00	1
2022_217/2022-08-05T00-09-02+00-00	1
2022_217/2022-08-05T00-13-13+00-00	1
2022_217/2022-08-05T00-16-13+00-00	1
2022_217/2022-08-05T00-19-13+00-00	1
2022_217/2022-08-05T00-22-14+00-00	1
2022_217/2022-08-05T00-25-14+00-00	1
2022_217/2022-08-05T00-28-14+00-00	1
2022_217/2022-08-05T00-31-14+00-00	1
2022_217/2022-08-05T00-34-14+00-00	1
2022_217/2022-08-05T00-37-15+00-00	1
2022_217/2022-08-05T00-40-15+00-00	1
2022_217/2022-08-05T00-43-15+00-00	1
2022_217/2022-08-05T00-46-15+00-00	1
2022_217/2022-08-05T00-49-16+00-00	1
2022_217/2022-08-05T00-52-16+00-00	1
2022_217/2022-08-05T00-55-16+00-00	1
2022_217/2022-08-05T00-58-17+00-00	1
2022_217/2022-08-05T01-01-17+00-00	1
2022_217/2022-08-05T01-04-17+00-00	1
2022_217/2022-08-05T01-23-54+00-00	1
2022_217/2022-08-05T01-26-54+00-00	1
2022_217/2022-08-05T02-04-27+00-00	1
2022_217/2022-08-05T02-07-27+00-00	1
2022_217/2022-08-05T02-16-31+00-00	1
2022_217/2022-08-05T02-19-32+00-00	0
2022_217/2022-08-05T02-22-32+00-00	0
2022_217/2022-08-05T02-25-32+00-00	0
2022_217/2022-08-05T02-28-32+00-00	0
2022_217/2022-08-05T02-31-33+00-00	0
2022_217/2022-08-05T02-34-33+00-00	1
2022_217/2022-08-05T02-37-33+00-00	0
2022_217/2022-08-05T02-40-34+00-00	0
2022_217/2022-08-05T02-43-34+00-00	0
2022_217/2022-08-05T02-46-34+00-00	0
2022_217/2022-08-05T02-49-34+00-00	0
2022_217/2022-08-05T02-52-34+00-00	0
2022_217/2022-08-05T02-55-35+00-00	0
2022_217/2022-08-05T02-58-35+00-00	0
2022_217/2022-08-05T03-01-35+00-00	0
2022_217/2022-08-05T03-04-36+00-00	0
2022_217/2022-08-05T03-07-36+00-00	0
2022_217/2022-08-05T03-10-36+00-00	0
2022_217/2022-08-05T03-13-36+00-00	0
2022_217/2022-08-05T03-16-37+00-00	0
2022_217/2022-08-05T03-19-37+00-00	0
2022_217/2022-08-05T03-22-37+00-00	0
2022_217/2022-08-05T03-25-37+00-00	0
2022_217/2022-08-05T03-28-38+00-00	0
2022_217/2022-08-05T03-31-38+00-00	0
2022_217/2022-08-05T03-34-38+00-00	0
2022_217/2022-08-05T03-37-39+00-00	1
2022_217/2022-08-05T03-40-39+00-00	0
2022_217/2022-08-05T03-43-39+00-00	0
2022_217/2022-08-05T03-46-39+00-00	0
2022_217/2022-08-05T03-49-40+00-00	0
2022_217/2022-08-05T03-52-40+00-00	0
2022_217/2022-08-05T03-55-40+00-00	0
2022_217/2022-08-05T03-58-40+00-00	0
2022_217/2022-08-05T04-01-41+00-00	0
2022_217/2022-08-05T04-04-41+00-00	0
2022_217/2022-08-05T04-07-41+00-00	0
2022_217/2022-08-05T04-10-41+00-00	1
2022_217/2022-08-05T04-13-42+00-00	0
2022_217/2022-08-05T04-16-42+00-00	1
2022_217/2022-08-05T04-19-42+00-00	1
2022_217/2022-08-05T14-15-39+00-00	1
2022_217/2022-08-05T14-18-39+00-00	0
2022_217/2022-08-05T14-21-39+00-00	0
2022_217/2022-08-05T14-24-39+00-00	0
2022_217/2022-08-05T14-27-40+00-00	0
2022_217/2022-08-05T14-30-40+00-00	0
2022_217/2022-08-05T14-33-40+00-00	0
2022_217/2022-08-05T14-36-40+00-00	0
2022_217/2022-08-05T14-39-41+00-00	0
2022_217/2022-08-05T14-42-41+00-00	0
2022_217/2022-08-05T14-45-41+00-00	0
2022_217/2022-08-05T14-48-41+00-00	0
2022_217/2022-08-05T14-51-42+00-00	0
2022_217/2022-08-05T14-54-42+00-00	2
2022_217/2022-08-05T14-57-42+00-00	0
2022_217/2022-08-05T15-00-42+00-00	0
2022_217/2022-08-05T15-03-43+00-00	0
2022_217/2022-08-05T15-06-43+00-00	0
2022_217/2022-08-05T15-09-43+00-00	1
2022_217/2022-08-05T15-12-43+00-00	0
2022_217/2022-08-05T15-15-44+00-00	1
2022_217/2022-08-05T15-18-44+00-00	0
2022_217/2022-08-05T15-21-44+00-00	1
2022_217/2022-08-05T15-24-44+00-00	1
2022_217/2022-08-05T15-27-45+00-00	1
2022_217/2022-08-05T15-30-45+00-00	1
2022_217/2022-08-05T15-33-45+00-00	1
2022_217/2022-08-05T15-36-45+00-00	1
2022_217/2022-08-05T15-39-46+00-00	1
2022_217/2022-08-05T15-42-46+00-00	1
2022_217/2022-08-05T15-45-46+00-00	1
2022_217/2022-08-05T15-48-47+00-00	1
2022_217/2022-08-05T15-51-47+00-00	0
2022_217/2022-08-05T15-54-47+00-00	1
