"file"	"flag"
"2016_039/2016-02-08T22-37-47+00-00"	1
"2016_039/2016-02-08T22-40-47+00-00"	0
"2016_039/2016-02-08T22-43-47+00-00"	0
"2016_039/2016-02-08T22-46-48+00-00"	0
"2016_039/2016-02-08T22-49-48+00-00"	0
"2016_039/2016-02-08T22-52-48+00-00"	0
"2016_039/2016-02-08T22-55-48+00-00"	0
"2016_039/2016-02-08T22-58-49+00-00"	0
"2016_039/2016-02-08T23-01-49+00-00"	0
"2016_039/2016-02-08T23-04-49+00-00"	3
"2016_039/2016-02-08T23-07-49+00-00"	0
"2016_039/2016-02-08T23-10-50+00-00"	0
"2016_039/2016-02-08T23-13-50+00-00"	0
"2016_039/2016-02-08T23-16-50+00-00"	0
"2016_039/2016-02-08T23-19-50+00-00"	0
"2016_039/2016-02-08T23-22-51+00-00"	3
"2016_039/2016-02-08T23-25-51+00-00"	3
"2016_039/2016-02-08T23-28-51+00-00"	0
"2016_039/2016-02-08T23-31-51+00-00"	0
"2016_039/2016-02-08T23-34-52+00-00"	0
"2016_039/2016-02-08T23-37-52+00-00"	0
"2016_039/2016-02-08T23-40-52+00-00"	3
"2016_039/2016-02-08T23-43-52+00-00"	0
"2016_039/2016-02-08T23-46-52+00-00"	0
"2016_039/2016-02-08T23-49-53+00-00"	0
"2016_039/2016-02-08T23-52-53+00-00"	0
"2016_039/2016-02-08T23-55-53+00-00"	0
"2016_039/2016-02-08T23-58-53+00-00"	1
"2016_040/2016-02-09T00-00-02+00-00"	1
"2016_040/2016-02-09T00-03-02+00-00"	0
"2016_040/2016-02-09T00-06-02+00-00"	0
"2016_040/2016-02-09T00-09-02+00-00"	3
"2016_040/2016-02-09T00-12-02+00-00"	0
"2016_040/2016-02-09T00-15-03+00-00"	0
"2016_040/2016-02-09T00-18-03+00-00"	0
"2016_040/2016-02-09T00-21-03+00-00"	0
"2016_040/2016-02-09T00-24-03+00-00"	0
"2016_040/2016-02-09T00-27-04+00-00"	0
"2016_040/2016-02-09T00-30-04+00-00"	0
"2016_040/2016-02-09T00-33-04+00-00"	3
"2016_040/2016-02-09T00-36-04+00-00"	0
"2016_040/2016-02-09T00-39-05+00-00"	0
"2016_040/2016-02-09T00-42-05+00-00"	3
"2016_040/2016-02-09T00-45-05+00-00"	0
"2016_040/2016-02-09T00-48-05+00-00"	3
"2016_040/2016-02-09T00-51-06+00-00"	3
"2016_040/2016-02-09T00-54-06+00-00"	0
"2016_040/2016-02-09T00-57-06+00-00"	3
"2016_040/2016-02-09T01-00-06+00-00"	3
"2016_040/2016-02-09T01-03-07+00-00"	0
"2016_040/2016-02-09T01-06-07+00-00"	3
"2016_040/2016-02-09T01-09-07+00-00"	0
"2016_040/2016-02-09T01-12-07+00-00"	3
"2016_040/2016-02-09T01-15-07+00-00"	3
"2016_040/2016-02-09T01-18-08+00-00"	1
"2016_040/2016-02-09T01-21-08+00-00"	0
"2016_040/2016-02-09T01-24-08+00-00"	0
"2016_040/2016-02-09T01-27-08+00-00"	0
"2016_040/2016-02-09T01-30-09+00-00"	0
"2016_040/2016-02-09T01-33-09+00-00"	0
"2016_040/2016-02-09T01-36-09+00-00"	0
"2016_040/2016-02-09T01-39-09+00-00"	0
"2016_040/2016-02-09T01-42-10+00-00"	0
"2016_040/2016-02-09T01-45-10+00-00"	0
"2016_040/2016-02-09T01-48-10+00-00"	0
"2016_040/2016-02-09T01-51-10+00-00"	3
"2016_040/2016-02-09T01-54-11+00-00"	0
"2016_040/2016-02-09T01-57-11+00-00"	0
"2016_040/2016-02-09T02-00-11+00-00"	0
"2016_040/2016-02-09T02-03-11+00-00"	0
"2016_040/2016-02-09T02-06-11+00-00"	0
"2016_040/2016-02-09T02-09-12+00-00"	0
"2016_040/2016-02-09T02-12-12+00-00"	3
"2016_040/2016-02-09T02-15-12+00-00"	3
"2016_040/2016-02-09T02-18-12+00-00"	3
"2016_040/2016-02-09T02-21-13+00-00"	3
"2016_040/2016-02-09T02-24-13+00-00"	3
"2016_040/2016-02-09T02-27-13+00-00"	3
"2016_040/2016-02-09T02-30-13+00-00"	1
"2016_040/2016-02-09T02-33-14+00-00"	3
"2016_040/2016-02-09T02-36-14+00-00"	3
"2016_040/2016-02-09T02-39-14+00-00"	3
"2016_040/2016-02-09T02-42-14+00-00"	3
"2016_040/2016-02-09T02-45-14+00-00"	3
"2016_040/2016-02-09T02-48-15+00-00"	3
"2016_040/2016-02-09T02-51-15+00-00"	3
"2016_040/2016-02-09T02-54-15+00-00"	0
"2016_040/2016-02-09T02-57-15+00-00"	3
"2016_040/2016-02-09T03-00-16+00-00"	3
"2016_040/2016-02-09T03-03-16+00-00"	0
"2016_040/2016-02-09T03-06-16+00-00"	0
"2016_040/2016-02-09T03-09-16+00-00"	0
"2016_040/2016-02-09T03-12-16+00-00"	3
"2016_040/2016-02-09T03-15-17+00-00"	3
"2016_040/2016-02-09T03-18-17+00-00"	3
"2016_040/2016-02-09T03-21-17+00-00"	3
"2016_040/2016-02-09T03-24-17+00-00"	3
"2016_040/2016-02-09T03-27-18+00-00"	3
"2016_040/2016-02-09T03-30-18+00-00"	3
"2016_040/2016-02-09T03-33-18+00-00"	0
"2016_040/2016-02-09T03-36-18+00-00"	3
"2016_040/2016-02-09T03-39-19+00-00"	3
"2016_040/2016-02-09T03-42-19+00-00"	3
"2016_040/2016-02-09T03-45-19+00-00"	0
"2016_040/2016-02-09T03-48-19+00-00"	0
"2016_040/2016-02-09T03-51-19+00-00"	0
"2016_040/2016-02-09T03-54-20+00-00"	3
"2016_040/2016-02-09T03-57-20+00-00"	3
