file	flag
2015_267/2015-09-24T23-00-01+00-00	0
2015_267/2015-09-24T23-03-02+00-00	0
2015_267/2015-09-24T23-06-02+00-00	0
2015_267/2015-09-24T23-09-02+00-00	0
2015_267/2015-09-24T23-12-02+00-00	0
2015_267/2015-09-24T23-15-03+00-00	0
2015_267/2015-09-24T23-18-03+00-00	0
2015_267/2015-09-24T23-21-03+00-00	0
2015_267/2015-09-24T23-24-03+00-00	0
2015_267/2015-09-24T23-27-04+00-00	0
2015_267/2015-09-24T23-30-04+00-00	0
2015_267/2015-09-24T23-33-04+00-00	0
2015_267/2015-09-24T23-36-04+00-00	0
2015_267/2015-09-24T23-39-05+00-00	0
2015_267/2015-09-24T23-42-05+00-00	0
2015_267/2015-09-24T23-45-05+00-00	0
2015_267/2015-09-24T23-48-05+00-00	0
2015_267/2015-09-24T23-51-06+00-00	0
2015_267/2015-09-24T23-54-06+00-00	0
2015_267/2015-09-24T23-57-06+00-00	0
2015_268/2015-09-25T00-00-07+00-00	0
2015_268/2015-09-25T00-03-07+00-00	0
2015_268/2015-09-25T00-06-07+00-00	0
2015_268/2015-09-25T00-09-07+00-00	0
2015_268/2015-09-25T00-12-07+00-00	0
2015_268/2015-09-25T00-15-07+00-00	0
2015_268/2015-09-25T00-18-08+00-00	0
2015_268/2015-09-25T00-21-08+00-00	0
2015_268/2015-09-25T00-24-08+00-00	0
2015_268/2015-09-25T00-27-08+00-00	0
2015_268/2015-09-25T00-30-09+00-00	0
2015_268/2015-09-25T00-33-09+00-00	0
2015_268/2015-09-25T00-36-09+00-00	0
2015_268/2015-09-25T00-39-09+00-00	0
2015_268/2015-09-25T00-42-10+00-00	0
2015_268/2015-09-25T00-45-10+00-00	0
2015_268/2015-09-25T00-48-10+00-00	0
2015_268/2015-09-25T00-51-11+00-00	0
2015_268/2015-09-25T00-54-11+00-00	0
2015_268/2015-09-25T00-57-11+00-00	0
2015_268/2015-09-25T01-00-11+00-00	0
2015_268/2015-09-25T01-03-11+00-00	0
2015_268/2015-09-25T01-06-12+00-00	0
2015_268/2015-09-25T01-09-12+00-00	0
2015_268/2015-09-25T01-12-12+00-00	0
2015_268/2015-09-25T01-15-12+00-00	0
2015_268/2015-09-25T01-18-13+00-00	0
2015_268/2015-09-25T01-21-13+00-00	0
2015_268/2015-09-25T01-24-13+00-00	0
2015_268/2015-09-25T01-27-13+00-00	0
2015_268/2015-09-25T01-30-13+00-00	0
2015_268/2015-09-25T01-33-13+00-00	0
2015_268/2015-09-25T01-36-14+00-00	0
2015_268/2015-09-25T01-39-14+00-00	0
2015_268/2015-09-25T01-42-14+00-00	0
2015_268/2015-09-25T01-45-14+00-00	0
2015_268/2015-09-25T01-48-15+00-00	0
2015_268/2015-09-25T01-51-15+00-00	0
2015_268/2015-09-25T01-54-15+00-00	0
2015_268/2015-09-25T01-57-15+00-00	0
2015_268/2015-09-25T02-00-15+00-00	0
2015_268/2015-09-25T02-03-16+00-00	0
2015_268/2015-09-25T02-06-16+00-00	0
2015_268/2015-09-25T02-09-16+00-00	0
2015_268/2015-09-25T02-12-16+00-00	0
2015_268/2015-09-25T02-15-16+00-00	0
2015_268/2015-09-25T02-18-17+00-00	0
2015_268/2015-09-25T02-21-17+00-00	0
2015_268/2015-09-25T02-24-17+00-00	1
2015_268/2015-09-25T02-27-17+00-00	0
2015_268/2015-09-25T02-30-17+00-00	0
2015_268/2015-09-25T02-33-18+00-00	0
2015_268/2015-09-25T02-36-18+00-00	2
2015_268/2015-09-25T02-39-18+00-00	0
2015_268/2015-09-25T02-42-18+00-00	2
2015_268/2015-09-25T02-45-19+00-00	2
2015_268/2015-09-25T02-48-19+00-00	2
2015_268/2015-09-25T02-51-19+00-00	2
2015_268/2015-09-25T02-54-19+00-00	2
2015_268/2015-09-25T02-57-19+00-00	2
2015_268/2015-09-25T03-00-20+00-00	2
2015_268/2015-09-25T03-03-20+00-00	0
2015_268/2015-09-25T03-06-20+00-00	0
2015_268/2015-09-25T03-09-20+00-00	0
2015_268/2015-09-25T03-12-20+00-00	0
2015_268/2015-09-25T03-15-21+00-00	0
2015_268/2015-09-25T03-18-21+00-00	0
2015_268/2015-09-25T03-21-21+00-00	0
2015_268/2015-09-25T03-24-21+00-00	0
2015_268/2015-09-25T03-27-21+00-00	0
2015_268/2015-09-25T03-30-22+00-00	0
2015_268/2015-09-25T03-33-22+00-00	0
2015_268/2015-09-25T03-36-22+00-00	0
