file	flag
2018_087/2018-03-28T02-26-35+00-00	1
2018_087/2018-03-28T02-29-35+00-00	2
2018_087/2018-03-28T02-32-36+00-00	2
2018_087/2018-03-28T02-35-36+00-00	2
2018_087/2018-03-28T02-38-36+00-00	2
2018_087/2018-03-28T02-41-36+00-00	0
2018_087/2018-03-28T02-44-37+00-00	0
2018_087/2018-03-28T02-47-37+00-00	2
2018_087/2018-03-28T02-50-37+00-00	0
2018_087/2018-03-28T02-53-37+00-00	1
2018_087/2018-03-28T02-56-37+00-00	1
2018_087/2018-03-28T02-59-38+00-00	1
2018_087/2018-03-28T03-02-38+00-00	1
2018_087/2018-03-28T03-05-38+00-00	1
2018_087/2018-03-28T03-08-38+00-00	1
2018_087/2018-03-28T03-11-39+00-00	1
2018_087/2018-03-28T03-14-39+00-00	1
2018_087/2018-03-28T03-17-39+00-00	1
2018_087/2018-03-28T03-20-39+00-00	1
2018_087/2018-03-28T03-23-39+00-00	1
2018_087/2018-03-28T03-26-40+00-00	1
2018_087/2018-03-28T03-29-40+00-00	1
2018_087/2018-03-28T03-32-40+00-00	1
2018_087/2018-03-28T03-35-40+00-00	1
2018_087/2018-03-28T03-38-40+00-00	1
2018_087/2018-03-28T03-41-41+00-00	1
2018_087/2018-03-28T03-44-41+00-00	1
2018_087/2018-03-28T03-47-41+00-00	1
2018_087/2018-03-28T03-50-41+00-00	1
2018_087/2018-03-28T03-53-41+00-00	1
2018_087/2018-03-28T03-56-42+00-00	1
2018_087/2018-03-28T03-59-42+00-00	1
2018_087/2018-03-28T04-02-42+00-00	1
2018_087/2018-03-28T04-05-42+00-00	1
2018_087/2018-03-28T04-08-42+00-00	1
2018_087/2018-03-28T04-11-43+00-00	0
2018_087/2018-03-28T04-14-43+00-00	0
2018_087/2018-03-28T04-17-43+00-00	0
2018_087/2018-03-28T04-20-43+00-00	2
2018_087/2018-03-28T04-23-44+00-00	0
2018_087/2018-03-28T04-26-44+00-00	0
2018_087/2018-03-28T04-29-44+00-00	0
2018_087/2018-03-28T04-32-44+00-00	0
2018_087/2018-03-28T04-35-45+00-00	0
2018_087/2018-03-28T04-38-45+00-00	0
2018_087/2018-03-28T04-41-45+00-00	0
2018_087/2018-03-28T04-44-45+00-00	0
2018_087/2018-03-28T04-47-45+00-00	0
2018_087/2018-03-28T04-50-46+00-00	0
2018_087/2018-03-28T04-53-46+00-00	0
2018_087/2018-03-28T04-56-46+00-00	0
2018_087/2018-03-28T04-59-46+00-00	0
2018_087/2018-03-28T05-02-47+00-00	0
2018_087/2018-03-28T05-05-47+00-00	0
2018_087/2018-03-28T05-08-47+00-00	0
2018_087/2018-03-28T05-11-47+00-00	0
2018_087/2018-03-28T05-14-48+00-00	0
2018_087/2018-03-28T05-17-48+00-00	0
2018_087/2018-03-28T05-20-48+00-00	0
2018_087/2018-03-28T05-23-48+00-00	0
2018_087/2018-03-28T05-26-49+00-00	0
2018_087/2018-03-28T05-29-49+00-00	2
2018_087/2018-03-28T05-32-49+00-00	2
2018_087/2018-03-28T05-35-49+00-00	2
2018_087/2018-03-28T05-38-49+00-00	0
2018_087/2018-03-28T05-41-50+00-00	0
2018_087/2018-03-28T05-44-50+00-00	0
2018_087/2018-03-28T05-47-50+00-00	0
2018_087/2018-03-28T05-50-50+00-00	0
2018_087/2018-03-28T05-53-51+00-00	0
2018_087/2018-03-28T05-56-51+00-00	0
2018_087/2018-03-28T05-59-51+00-00	0
2018_087/2018-03-28T06-02-51+00-00	0
2018_087/2018-03-28T06-05-52+00-00	0
2018_087/2018-03-28T06-08-52+00-00	0
2018_087/2018-03-28T06-11-52+00-00	2
2018_087/2018-03-28T06-14-52+00-00	0
2018_087/2018-03-28T06-17-53+00-00	0
2018_087/2018-03-28T06-20-53+00-00	0
2018_087/2018-03-28T06-23-53+00-00	0
2018_087/2018-03-28T06-26-53+00-00	0
2018_087/2018-03-28T06-29-53+00-00	0
2018_087/2018-03-28T06-32-54+00-00	0
2018_087/2018-03-28T06-35-54+00-00	0
2018_087/2018-03-28T06-38-54+00-00	0
2018_087/2018-03-28T06-41-54+00-00	0
2018_087/2018-03-28T06-44-55+00-00	0
2018_087/2018-03-28T06-47-55+00-00	0
2018_087/2018-03-28T06-50-55+00-00	0
2018_087/2018-03-28T06-53-55+00-00	0
2018_087/2018-03-28T06-56-56+00-00	0
2018_087/2018-03-28T06-59-56+00-00	0
2018_087/2018-03-28T07-02-56+00-00	0
2018_087/2018-03-28T07-05-56+00-00	0
2018_087/2018-03-28T07-08-57+00-00	0
2018_087/2018-03-28T07-11-57+00-00	0
2018_087/2018-03-28T07-14-57+00-00	0
2018_087/2018-03-28T07-17-57+00-00	0
2018_087/2018-03-28T07-20-58+00-00	0
2018_087/2018-03-28T07-23-58+00-00	0
2018_087/2018-03-28T07-26-58+00-00	0
2018_087/2018-03-28T07-29-58+00-00	0
2018_087/2018-03-28T07-32-58+00-00	0
2018_087/2018-03-28T07-35-59+00-00	0
2018_087/2018-03-28T07-38-59+00-00	0
2018_087/2018-03-28T07-41-59+00-00	0
2018_087/2018-03-28T07-44-59+00-00	0
2018_087/2018-03-28T07-48-00+00-00	0
2018_087/2018-03-28T07-51-00+00-00	0
2018_087/2018-03-28T07-54-00+00-00	0
2018_087/2018-03-28T07-57-00+00-00	0
2018_087/2018-03-28T08-00-01+00-00	0
2018_087/2018-03-28T08-03-01+00-00	0
2018_087/2018-03-28T08-06-01+00-00	0
2018_087/2018-03-28T08-09-01+00-00	0
2018_087/2018-03-28T08-12-02+00-00	0
2018_087/2018-03-28T08-15-02+00-00	0
2018_087/2018-03-28T08-18-02+00-00	0
2018_087/2018-03-28T08-21-02+00-00	0
2018_087/2018-03-28T08-24-03+00-00	0
2018_087/2018-03-28T08-27-03+00-00	0
2018_087/2018-03-28T08-30-03+00-00	0
2018_087/2018-03-28T08-33-03+00-00	0
2018_087/2018-03-28T08-36-04+00-00	1
2018_087/2018-03-28T08-39-04+00-00	0
2018_087/2018-03-28T08-42-04+00-00	0
2018_087/2018-03-28T08-45-04+00-00	0
2018_087/2018-03-28T08-48-04+00-00	0
2018_087/2018-03-28T08-51-05+00-00	0
2018_087/2018-03-28T08-54-05+00-00	0
2018_087/2018-03-28T08-57-05+00-00	0
2018_087/2018-03-28T09-00-05+00-00	0
2018_087/2018-03-28T09-03-06+00-00	0
2018_087/2018-03-28T09-06-06+00-00	0
2018_087/2018-03-28T09-09-06+00-00	0
2018_087/2018-03-28T09-12-06+00-00	0
2018_087/2018-03-28T09-15-07+00-00	0
2018_087/2018-03-28T09-18-07+00-00	0
2018_087/2018-03-28T09-21-07+00-00	0
2018_087/2018-03-28T09-24-07+00-00	0
2018_087/2018-03-28T09-27-07+00-00	0
2018_087/2018-03-28T09-30-08+00-00	0
2018_087/2018-03-28T09-33-08+00-00	0
2018_087/2018-03-28T09-36-08+00-00	0
2018_087/2018-03-28T09-39-08+00-00	0
2018_087/2018-03-28T09-42-09+00-00	0
2018_087/2018-03-28T09-45-09+00-00	0
2018_087/2018-03-28T09-48-09+00-00	0
2018_087/2018-03-28T09-51-09+00-00	0
2018_087/2018-03-28T09-54-10+00-00	0
2018_087/2018-03-28T09-57-10+00-00	0
2018_087/2018-03-28T10-00-10+00-00	0
2018_087/2018-03-28T10-03-10+00-00	0
2018_087/2018-03-28T10-06-11+00-00	0
2018_087/2018-03-28T10-09-11+00-00	0
2018_087/2018-03-28T10-12-11+00-00	0
2018_087/2018-03-28T10-15-11+00-00	0
2018_087/2018-03-28T10-18-12+00-00	0
2018_087/2018-03-28T10-21-12+00-00	0
2018_087/2018-03-28T10-24-12+00-00	0
2018_087/2018-03-28T10-27-12+00-00	0
2018_087/2018-03-28T10-30-13+00-00	0
2018_087/2018-03-28T10-33-13+00-00	0
2018_087/2018-03-28T10-36-13+00-00	0
2018_087/2018-03-28T10-39-13+00-00	0
2018_087/2018-03-28T10-42-14+00-00	0
2018_087/2018-03-28T10-45-14+00-00	0
2018_087/2018-03-28T10-48-14+00-00	0
2018_087/2018-03-28T10-51-14+00-00	0
2018_087/2018-03-28T10-54-15+00-00	0
2018_087/2018-03-28T10-57-15+00-00	0
2018_087/2018-03-28T11-00-15+00-00	0
2018_087/2018-03-28T11-03-15+00-00	0
2018_087/2018-03-28T11-06-15+00-00	0
2018_087/2018-03-28T11-09-16+00-00	0
2018_087/2018-03-28T11-12-16+00-00	0
2018_087/2018-03-28T11-15-16+00-00	0
2018_087/2018-03-28T11-18-16+00-00	0
2018_087/2018-03-28T11-21-17+00-00	0
2018_087/2018-03-28T11-24-17+00-00	0
2018_087/2018-03-28T11-27-17+00-00	0
2018_087/2018-03-28T11-30-17+00-00	0
2018_087/2018-03-28T11-33-18+00-00	0
2018_087/2018-03-28T11-36-18+00-00	0
2018_087/2018-03-28T11-39-18+00-00	0
2018_087/2018-03-28T11-42-18+00-00	0
2018_087/2018-03-28T11-45-18+00-00	0
2018_087/2018-03-28T11-48-19+00-00	0
2018_087/2018-03-28T11-51-19+00-00	0
2018_087/2018-03-28T11-54-19+00-00	0
2018_087/2018-03-28T11-57-19+00-00	0
2018_087/2018-03-28T12-00-20+00-00	0
2018_087/2018-03-28T12-03-20+00-00	0
2018_087/2018-03-28T12-06-20+00-00	0
2018_087/2018-03-28T12-09-20+00-00	0
2018_087/2018-03-28T12-12-20+00-00	0
2018_087/2018-03-28T12-15-21+00-00	0
