file	flag
2019_310/2019-11-06T10-32-05+00-00	1
2019_310/2019-11-06T10-35-05+00-00	3
2019_310/2019-11-06T10-38-05+00-00	1
2019_310/2019-11-06T10-41-05+00-00	3
2019_310/2019-11-06T10-44-06+00-00	3
2019_310/2019-11-06T10-47-06+00-00	3
2019_310/2019-11-06T10-50-06+00-00	3
2019_310/2019-11-06T10-53-06+00-00	3
2019_310/2019-11-06T10-56-06+00-00	3
2019_310/2019-11-06T10-59-07+00-00	3
2019_310/2019-11-06T11-02-07+00-00	0
2019_310/2019-11-06T11-05-07+00-00	0
2019_310/2019-11-06T11-08-07+00-00	0
2019_310/2019-11-06T11-11-07+00-00	0
2019_310/2019-11-06T11-14-08+00-00	0
2019_310/2019-11-06T11-17-08+00-00	0
2019_310/2019-11-06T11-20-08+00-00	0
2019_310/2019-11-06T11-23-08+00-00	0
2019_310/2019-11-06T11-26-09+00-00	0
2019_310/2019-11-06T11-29-09+00-00	0
2019_310/2019-11-06T11-32-09+00-00	0
2019_310/2019-11-06T11-35-09+00-00	0
2019_310/2019-11-06T11-38-10+00-00	0
2019_310/2019-11-06T11-41-10+00-00	0
2019_310/2019-11-06T11-44-10+00-00	0
2019_310/2019-11-06T11-47-10+00-00	0
2019_310/2019-11-06T11-50-11+00-00	0
2019_310/2019-11-06T11-53-11+00-00	0
2019_310/2019-11-06T11-56-11+00-00	0
2019_310/2019-11-06T11-59-11+00-00	0
2019_310/2019-11-06T12-02-12+00-00	0
2019_310/2019-11-06T12-05-12+00-00	0
2019_310/2019-11-06T12-08-12+00-00	0
2019_310/2019-11-06T12-11-13+00-00	0
2019_310/2019-11-06T12-14-13+00-00	0
2019_310/2019-11-06T12-17-13+00-00	3
2019_310/2019-11-06T12-20-13+00-00	0
2019_310/2019-11-06T12-23-14+00-00	0
2019_310/2019-11-06T12-26-14+00-00	0
2019_310/2019-11-06T12-29-14+00-00	0
2019_310/2019-11-06T12-32-14+00-00	0
2019_310/2019-11-06T12-35-15+00-00	0
2019_310/2019-11-06T12-38-15+00-00	0
