file	flag
2021_316/2021-11-12T16-42-18+00-00	1
2021_316/2021-11-12T16-45-18+00-00	2
2021_316/2021-11-12T16-48-18+00-00	1
2021_316/2021-11-12T16-48-36+00-00	1
2021_316/2021-11-12T16-51-36+00-00	1
2021_316/2021-11-12T16-54-37+00-00	0
2021_316/2021-11-12T16-57-37+00-00	1
2021_316/2021-11-12T17-00-27+00-00	2
2021_316/2021-11-12T17-03-27+00-00	2
2021_316/2021-11-12T17-06-28+00-00	2
2021_316/2021-11-12T17-09-28+00-00	2
2021_316/2021-11-12T17-12-28+00-00	2
2021_316/2021-11-12T17-15-28+00-00	2
2021_316/2021-11-12T17-18-29+00-00	2
2021_316/2021-11-12T17-21-29+00-00	2
2021_316/2021-11-12T17-24-29+00-00	2
2021_316/2021-11-12T17-27-29+00-00	2
2021_316/2021-11-12T17-30-30+00-00	2
2021_316/2021-11-12T17-33-30+00-00	2
2021_316/2021-11-12T17-36-30+00-00	2
2021_316/2021-11-12T17-39-30+00-00	2
2021_316/2021-11-12T17-42-31+00-00	2
2021_316/2021-11-12T17-45-31+00-00	2
2021_316/2021-11-12T17-48-31+00-00	1
2021_316/2021-11-12T17-51-32+00-00	2
2021_316/2021-11-12T17-54-32+00-00	2
2021_316/2021-11-12T17-57-32+00-00	0
2021_316/2021-11-12T18-00-32+00-00	0
2021_316/2021-11-12T18-03-33+00-00	0
2021_316/2021-11-12T18-06-33+00-00	2
2021_316/2021-11-12T18-09-33+00-00	2
2021_316/2021-11-12T18-12-33+00-00	0
2021_316/2021-11-12T18-15-34+00-00	2
2021_316/2021-11-12T18-18-34+00-00	2
2021_316/2021-11-12T18-21-34+00-00	2
2021_316/2021-11-12T18-24-35+00-00	2
2021_316/2021-11-12T18-27-35+00-00	2
2021_316/2021-11-12T18-30-35+00-00	0
2021_316/2021-11-12T18-33-35+00-00	2
2021_316/2021-11-12T18-36-36+00-00	2
2021_316/2021-11-12T18-39-36+00-00	2
2021_316/2021-11-12T18-42-36+00-00	2
2021_316/2021-11-12T18-45-37+00-00	2
2021_316/2021-11-12T18-48-37+00-00	0
2021_316/2021-11-12T18-51-37+00-00	0
2021_316/2021-11-12T18-54-37+00-00	2
2021_316/2021-11-12T18-57-38+00-00	2
2021_316/2021-11-12T19-00-38+00-00	2
2021_316/2021-11-12T19-03-38+00-00	0
2021_316/2021-11-12T19-06-38+00-00	0
2021_316/2021-11-12T19-09-39+00-00	0
2021_316/2021-11-12T19-12-39+00-00	0
2021_316/2021-11-12T19-15-39+00-00	0
2021_316/2021-11-12T19-18-39+00-00	0
2021_316/2021-11-12T19-21-40+00-00	0
2021_316/2021-11-12T19-24-40+00-00	0
2021_316/2021-11-12T19-27-40+00-00	0
2021_316/2021-11-12T19-30-40+00-00	0
2021_316/2021-11-12T19-33-41+00-00	0
2021_316/2021-11-12T19-36-41+00-00	0
2021_316/2021-11-12T19-39-41+00-00	0
2021_316/2021-11-12T19-42-41+00-00	0
2021_316/2021-11-12T19-45-42+00-00	0
2021_316/2021-11-12T19-48-42+00-00	0
2021_316/2021-11-12T19-51-42+00-00	0
2021_316/2021-11-12T19-54-42+00-00	0
2021_316/2021-11-12T19-57-43+00-00	0
2021_316/2021-11-12T20-00-43+00-00	0
2021_316/2021-11-12T20-03-43+00-00	0
2021_316/2021-11-12T20-06-43+00-00	0
2021_316/2021-11-12T20-09-44+00-00	1
2021_316/2021-11-12T20-26-08+00-00	1
2021_316/2021-11-12T20-29-08+00-00	0
2021_316/2021-11-12T20-32-08+00-00	0
2021_316/2021-11-12T20-35-09+00-00	0
2021_316/2021-11-12T20-38-09+00-00	0
2021_316/2021-11-12T20-41-09+00-00	0
2021_316/2021-11-12T20-44-09+00-00	0
2021_316/2021-11-12T20-47-09+00-00	0
2021_316/2021-11-12T20-50-10+00-00	0
2021_316/2021-11-12T20-53-10+00-00	0
2021_316/2021-11-12T20-56-10+00-00	1
2021_316/2021-11-12T20-59-11+00-00	0
2021_316/2021-11-12T21-02-11+00-00	0
2021_316/2021-11-12T21-05-11+00-00	0
2021_316/2021-11-12T21-08-11+00-00	0
2021_316/2021-11-12T21-11-12+00-00	0
2021_316/2021-11-12T21-14-12+00-00	0
2021_316/2021-11-12T21-17-12+00-00	0
2021_316/2021-11-12T21-20-12+00-00	0
2021_316/2021-11-12T21-23-13+00-00	0
2021_316/2021-11-12T21-26-13+00-00	0
2021_316/2021-11-12T21-29-13+00-00	0
2021_316/2021-11-12T21-32-13+00-00	0
2021_316/2021-11-12T21-35-14+00-00	0
2021_316/2021-11-12T21-38-14+00-00	2
2021_316/2021-11-12T21-41-14+00-00	2
2021_316/2021-11-12T21-44-15+00-00	0
2021_316/2021-11-12T21-47-15+00-00	0
2021_316/2021-11-12T21-50-15+00-00	0
2021_316/2021-11-12T21-53-15+00-00	0
2021_316/2021-11-12T21-56-16+00-00	2
2021_316/2021-11-12T21-59-16+00-00	0
2021_316/2021-11-12T22-02-16+00-00	0
2021_316/2021-11-12T22-05-16+00-00	0
2021_316/2021-11-12T22-08-17+00-00	0
2021_316/2021-11-12T22-11-17+00-00	0
2021_316/2021-11-12T22-14-17+00-00	0
2021_316/2021-11-12T22-17-17+00-00	2
2021_316/2021-11-12T22-20-18+00-00	0
2021_316/2021-11-12T22-23-18+00-00	0
2021_316/2021-11-12T22-26-18+00-00	0
2021_316/2021-11-12T22-29-18+00-00	0
2021_316/2021-11-12T22-32-19+00-00	0
2021_316/2021-11-12T22-35-19+00-00	0
2021_316/2021-11-12T22-38-19+00-00	0
2021_316/2021-11-12T22-41-20+00-00	0
2021_316/2021-11-12T22-44-20+00-00	0
2021_316/2021-11-12T22-47-20+00-00	0
2021_316/2021-11-12T22-50-20+00-00	0
2021_316/2021-11-12T22-53-21+00-00	0
2021_316/2021-11-12T22-56-21+00-00	0
2021_316/2021-11-12T22-59-21+00-00	0
2021_316/2021-11-12T23-02-21+00-00	0
2021_316/2021-11-12T23-05-22+00-00	0
2021_316/2021-11-12T23-08-22+00-00	0
2021_316/2021-11-12T23-11-22+00-00	0
2021_316/2021-11-12T23-14-22+00-00	0
2021_316/2021-11-12T23-17-23+00-00	0
2021_316/2021-11-12T23-20-23+00-00	0
2021_316/2021-11-12T23-23-23+00-00	0
2021_316/2021-11-12T23-26-24+00-00	0
2021_316/2021-11-12T23-29-24+00-00	0
2021_316/2021-11-12T23-32-24+00-00	0
2021_316/2021-11-12T23-35-24+00-00	0
2021_316/2021-11-12T23-38-24+00-00	0
2021_316/2021-11-12T23-41-25+00-00	0
2021_316/2021-11-12T23-44-25+00-00	0
2021_316/2021-11-12T23-47-25+00-00	0
2021_316/2021-11-12T23-50-25+00-00	0
2021_316/2021-11-12T23-53-26+00-00	0
2021_316/2021-11-12T23-56-26+00-00	0
2021_316/2021-11-12T23-59-26+00-00	1
2021_317/2021-11-13T00-00-02+00-00	0
2021_317/2021-11-13T00-03-02+00-00	0
2021_317/2021-11-13T00-06-02+00-00	0
2021_317/2021-11-13T00-09-02+00-00	0
2021_317/2021-11-13T00-12-02+00-00	0
2021_317/2021-11-13T00-15-03+00-00	0
2021_317/2021-11-13T00-18-03+00-00	0
2021_317/2021-11-13T00-21-03+00-00	0
2021_317/2021-11-13T00-24-04+00-00	0
2021_317/2021-11-13T00-27-04+00-00	0
2021_317/2021-11-13T00-30-04+00-00	0
2021_317/2021-11-13T00-33-04+00-00	0
2021_317/2021-11-13T00-36-05+00-00	0
2021_317/2021-11-13T00-39-05+00-00	0
2021_317/2021-11-13T00-42-05+00-00	0
2021_317/2021-11-13T00-45-05+00-00	0
2021_317/2021-11-13T00-48-06+00-00	0
2021_317/2021-11-13T00-51-06+00-00	0
2021_317/2021-11-13T00-54-06+00-00	0
2021_317/2021-11-13T00-57-06+00-00	1
2021_317/2021-11-13T01-00-07+00-00	0
2021_317/2021-11-13T01-03-07+00-00	0
2021_317/2021-11-13T01-06-07+00-00	0
2021_317/2021-11-13T01-09-07+00-00	0
2021_317/2021-11-13T01-12-08+00-00	0
2021_317/2021-11-13T01-15-08+00-00	0
2021_317/2021-11-13T01-18-08+00-00	0
2021_317/2021-11-13T01-21-08+00-00	0
2021_317/2021-11-13T01-24-09+00-00	0
2021_317/2021-11-13T01-27-09+00-00	0
2021_317/2021-11-13T01-30-09+00-00	0
2021_317/2021-11-13T01-33-09+00-00	0
2021_317/2021-11-13T01-36-10+00-00	0
2021_317/2021-11-13T01-39-10+00-00	0
2021_317/2021-11-13T01-42-10+00-00	0
2021_317/2021-11-13T01-45-10+00-00	0
2021_317/2021-11-13T01-48-11+00-00	0
2021_317/2021-11-13T01-51-11+00-00	0
2021_317/2021-11-13T01-54-11+00-00	0
2021_317/2021-11-13T01-57-11+00-00	0
2021_317/2021-11-13T02-00-12+00-00	0
2021_317/2021-11-13T02-03-12+00-00	0
2021_317/2021-11-13T02-06-12+00-00	0
2021_317/2021-11-13T02-09-12+00-00	0
2021_317/2021-11-13T02-12-13+00-00	0
2021_317/2021-11-13T02-15-13+00-00	0
2021_317/2021-11-13T02-18-13+00-00	0
2021_317/2021-11-13T02-21-13+00-00	0
2021_317/2021-11-13T02-24-14+00-00	0
2021_317/2021-11-13T02-27-14+00-00	0
2021_317/2021-11-13T02-30-14+00-00	0
2021_317/2021-11-13T02-33-14+00-00	0
2021_317/2021-11-13T02-36-15+00-00	0
2021_317/2021-11-13T02-39-15+00-00	0
2021_317/2021-11-13T02-42-15+00-00	0
2021_317/2021-11-13T02-45-15+00-00	0
2021_317/2021-11-13T02-48-16+00-00	0
2021_317/2021-11-13T02-51-16+00-00	0
2021_317/2021-11-13T02-54-16+00-00	0
2021_317/2021-11-13T02-57-16+00-00	0
2021_317/2021-11-13T03-00-17+00-00	0
2021_317/2021-11-13T03-03-17+00-00	0
2021_317/2021-11-13T03-06-17+00-00	0
2021_317/2021-11-13T03-09-17+00-00	0
2021_317/2021-11-13T03-12-18+00-00	0
2021_317/2021-11-13T03-15-18+00-00	0
2021_317/2021-11-13T03-18-18+00-00	0
2021_317/2021-11-13T03-21-18+00-00	0
2021_317/2021-11-13T03-24-19+00-00	0
2021_317/2021-11-13T03-27-19+00-00	0
2021_317/2021-11-13T03-30-19+00-00	0
2021_317/2021-11-13T03-33-19+00-00	0
2021_317/2021-11-13T03-36-20+00-00	0
2021_317/2021-11-13T03-39-20+00-00	0
2021_317/2021-11-13T03-42-20+00-00	0
2021_317/2021-11-13T03-45-20+00-00	0
2021_317/2021-11-13T03-48-21+00-00	0
2021_317/2021-11-13T03-51-21+00-00	0
2021_317/2021-11-13T03-54-21+00-00	0
2021_317/2021-11-13T03-57-21+00-00	0
2021_317/2021-11-13T04-00-22+00-00	0
2021_317/2021-11-13T04-03-22+00-00	0
2021_317/2021-11-13T04-06-22+00-00	0
2021_317/2021-11-13T04-09-22+00-00	0
2021_317/2021-11-13T04-12-23+00-00	0
2021_317/2021-11-13T04-15-23+00-00	0
2021_317/2021-11-13T04-18-23+00-00	0
2021_317/2021-11-13T04-21-23+00-00	0
